registry,property,mode,deriver,required,form,exclusive,values,column_primitive,gloss
kits,users,computed,tools/build/kits-index.mjs,value,column,yes,,value,"how many other files under lib/, pages/ and app/ name the kit by its load path; zero is the warning state"
kits,tested,computed,tools/build/kits-index.mjs,value,column,yes,yes;no,label,a file under tools/test/ names it
content,creation_mode,recorded,,none,column,yes,supplied;mechanical;human-authored;model-authored;hybrid-authored;mixed,label,what the artifact IS epistemically; the portable content skill owns the convention
content,analysis_use,recorded,,none,column,yes,concept-vocabulary;prose-review;semantic-search;source-corpus;exclude,label,"what the artifact is good for downstream. The domain is closed and is owned by the content skill, not here; docs/owners.csv records the copy"
content,description,recorded,,none,column,yes,,value,one line on the artifact
portable,kind,recorded,,value,column,yes,skill;doc;script;dir,label,what species of thing travels
portable,command,recorded,,none,column,yes,,value,the invocation name; present on kind:skill rows only
portable,title,recorded,,none,column,yes,,value,display name
portable,role,recorded,,counted,column,yes,,value,"what the item does for an adopting repo. NOT asserted where a registry already owns the claim: blank on the scripts harness describes, joined at render time. Kept on the skills, whose skills row carries a model-facing trigger description rather than a reader's one-liner"
portable,use,recorded,,none,column,yes,plugin;live;reference;adopt;on-demand,label,"how a consumer takes the item: installed by the plugin, read live, referenced, adopted once, or fetched on demand"
tools,icon,recorded,,none,column,yes,,value,phosphor icon name
owners,kind,recorded,,value,column,yes,statement;family,label,"whether the row owns one repeated statement or declares a rule over a scope; a family row is a DECLARATION in this model, carried here because the file that owns it is distributed"
owners,applies_to,recorded,,none,column,yes,,value,the population a family rule covers; absent on a statement row
owners,authoritative,recorded,,value,column,yes,,value,the one file that owns the statement; every other mention is a repetition
skills,group,recorded,,value,column,yes,prose;documents;web;device;windows;session,label,"what the skill is FOR, the axis a reader browses on; authored, since nothing on disk carries a subject"
skills,description,recorded,,value,column,yes,,value,"the skill's trigger description. A COPY: the authoritative file is the skill's own SKILL.md, per the family rule in docs/owners.csv"
pages,top,computed,tools/build/pages-index.mjs,value,column,yes,,label,"the top-level segment under pages/ the page sits in, which drives the gallery's location chips; every page below drop/ scopes to one drop chip. A root page reads main"
pages,group,computed,tools/build/pages-index.mjs,counted,column,yes,,locator,"the page's own directory, as the gallery labels it; blank for a root page. Was a nesting level until 2026-08-18, when flattening it onto the row is what let the catalog become a CSV"
pages,label,computed,tools/build/pages-index.mjs,value,column,yes,,value,the short name the catalog card and the picker show
pages,title,computed,tools/build/pages-index.mjs,value,column,yes,,value,"the page's own <title>, read from the file"
pages,note,computed,tools/build/pages-index.mjs,counted,column,yes,,value,"the one-line blurb. Authored in the NOTES map inside the deriver, not here, and blank on more pages than not: the honest measure of how much of the gallery is unexplained, countable from this file rather than stated in it"
pages,thumb,computed,tools/build/pages-index.mjs,value,column,yes,,locator,"the committed screenshot path; refreshed once per session, never by the commit hook"
pages,code,computed,tools/build/pages-index.mjs,value,column,yes,,locator,the GitHub blob URL for the page source
tracker-tasks,title,computed,.claude/skills/tasks/build-board.py,value,column,yes,,value,"the task's short imperative, read from its frontmatter"
tracker-tasks,status,computed,.claude/skills/tasks/build-board.py,value,column,yes,backlog;in-progress;blocked;done;dormant,label,where the task sits. Domain owned by docs/TRACKER.md
tracker-tasks,opened,computed,.claude/skills/tasks/build-board.py,value,column,yes,,value,the date the task was filed
tracker-tasks,closed,computed,.claude/skills/tasks/build-board.py,none,column,yes,,value,"the date it was completed; absent while open, which is not a blank to count"
tracker-tasks,file,computed,.claude/skills/tasks/build-board.py,value,column,yes,,locator,the task file this row is derived from
tracker-tasks,href,computed,.claude/skills/tasks/build-board.py,value,column,yes,,locator,the blob URL the board and the caption link to
tracker-tasks,lastActivity,computed,.claude/skills/tasks/build-board.py,counted,column,yes,,value,"the date of the newest progress-log line. Blank on a task filed without one, which the board generator allows and the tasks template does not produce; the blank is the honest reading of 'filed, nothing logged yet' and is worth counting"
tracker-tasks,logEntries,computed,.claude/skills/tasks/build-board.py,value,column,yes,,label,how many progress-log lines the task carries
tracker-tasks,session,computed,.claude/skills/tasks/build-board.py,none,column,yes,,value,"the branch that owns the task while it is in progress, or completed it"
tracker-tasks,project,computed,.claude/skills/tasks/build-board.py,none,column,yes,,label,"the workspace a task belongs to, where the repo scopes them"
tracker-tasks,size,computed,.claude/skills/tasks/build-board.py,none,column,yes,XS;S;M;L;XL;?,label,"effort calibrated to the session. Domain owned by docs/TRACKER.md; optional by design, and carried on a minority of tasks"
tracker-tasks,depends-on,computed,.claude/skills/tasks/build-board.py,none,column,yes,,value,"the task ids this one waits on, comma separated; absent means none. Replaced `track` on 2026-08-23"
tracker-tasks,awaiting,computed,.claude/skills/tasks/build-board.py,none,column,yes,,value,free text naming what is holding the task; cleared by hand
tracker-tasks,blockedBy,computed,.claude/skills/tasks/build-board.py,none,column,yes,,value,the task or condition a blocked row names
routes-modes,form,recorded,,value,column,yes,,value,"the address shape, e.g. #gz=<base64url of gzipped HTML>"
routes-modes,carries,recorded,,value,column,yes,inline;reference,label,whether the payload rides in the URL or is fetched
routes-modes,trust,recorded,,value,column,yes,trusted;untrusted;n/a,label,"how the renderer treats what arrives. n/a is the data route, which hands bytes to a viewer rather than executing a page, so the question does not arise"
routes-modes,sandbox,recorded,,value,column,yes,,label,the sandbox the mode renders under
routes-modes,reach,recorded,,value,column,yes,any reader;viewer holding the token,label,"who can open it: any reader, or a token holder"
routes-modes,note,recorded,,value,column,yes,,value,what the mode buys and what it costs
routes-routes,repo,recorded,,value,column,yes,,label,the repo holding the renderer page
routes-routes,ref,recorded,,value,column,yes,,label,the ref the renderer is read at
routes-routes,path,recorded,,value,column,yes,,locator,the renderer page
routes-routes,renders,recorded,,value,column,yes,,value,the content type this route is for
routes-routes,doc,recorded,,value,column,yes,,locator,the envelope contract the route honors
routes-routes,example,recorded,,value,column,yes,,locator,a worked address
routes-kinds,label,recorded,,value,column,yes,,value,the kind's display name
routes-kinds,subject,recorded,,value,column,yes,,label,which value of the showing frame's subject axis a link to this kind takes
routes-kinds,detect,recorded,,value,column,yes,,value,"the rule that recognizes this kind, as ViewRegistry.KIND applies it"
routes-kinds,exclusive,recorded,,none,column,yes,yes,label,"set where the viewer module is the only one that can display the file, so it outranks any default mode a host sets"
routes-kinds,view,recorded,,none,column,yes,,label,the viewer module id this kind opens in; blank where the kind has its own page rather than a mode
routes-kinds,route,recorded,,none,column,no,,locator,the toss route that addresses this kind; blank where none does
routes-kinds,shown_by,recorded,,value,column,yes,,locator,"the showing mechanisms that reach this kind, semicolon-separated"
routes-kinds,kit,recorded,,none,column,no,,locator,"the kit that DECLARES this kind, carrying its row and resolving a position to its units; blank where nothing declares it yet, which a kit merely knowing the format does not"
routes-kinds,unit,recorded,,none,column,yes,,label,what one aimable piece of this kind is
routes-kinds,address,recorded,,none,column,yes,,value,what a position inside this kind reads as in the source's terms
routes-kinds,aim,recorded,,none,column,yes,,value,the annotate aim this kind adds beyond the universal three; blank means only those three
routes-kinds,aim_label,recorded,,none,column,yes,,value,"what that aim is called in the annotator, carried here so the kit holds no strings of its own"
routes-kinds,aim_hint,recorded,,none,column,yes,,value,the one line under that aim in the menu
routes-kinds,aim_icon,recorded,,none,column,yes,,value,"the phosphor glyph that marks that aim, carried here for the same reason the label is: both surfaces that draw the aim hardcoded one, so a kind got its own name and markdown's icon"
showing-mechanisms,glyph,recorded,,value,column,yes,,label,the marker the caption uses
showing-mechanisms,label,recorded,,value,column,yes,,value,the mechanism name a reader sees
showing-mechanisms,form,recorded,,none,column,yes,,value,the address shape; absent where the mechanism is not a URL
showing-mechanisms,subject,recorded,,value,column,yes,,value,what kind of thing it can show
showing-mechanisms,version,recorded,,value,column,yes,,label,which version of the subject it reaches
showing-mechanisms,viewer,recorded,,value,column,yes,,label,who can open it
showing-mechanisms,reaches,recorded,,none,column,yes,,value,what it does show
showing-mechanisms,misses,recorded,,value,column,yes,,value,"what it does NOT show, which is the field the picker turns on"
showing-mechanisms,trap,recorded,,none,column,yes,,value,"the failure mode, where one has bitten; carried on 1 of 7"
showing-mechanisms,use,recorded,,value,column,yes,,value,when to pick it
routes-paste,path,recorded,,none,column,yes,,locator,"the file that implements the behavior; absent on the form-field row, which names a browser behavior rather than one of ours"
routes-paste,recognizes,recorded,,value,column,yes,,value,what the surface reads out of the clipboard and acts on
routes-paste,becomes,recorded,,value,column,yes,,value,what a recognized paste turns into there
routes-paste,declines_to,recorded,,value,column,yes,,value,"where everything it does not recognize goes. The load-bearing field: a surface that routes some pastes has to say what happens to the rest, or the routing is a silent swallow"
routes-paste,gate,recorded,,none,column,yes,,locator,the check holding the behavior; absent where nothing does
surfacing,lead,recorded,,value,column,yes,,value,"the bullet lead-in, held two-way against SURFACING.md's prose"
surfacing,title,recorded,,value,column,yes,,value,the short name
surfacing,glyph,recorded,,counted,column,yes,,value,the caption marker; blank on the primitives that have no marker of their own
surfacing,use,recorded,,value,column,yes,,value,"what the primitive is for, in one line"
surfacing,boundary,recorded,,none,column,yes,,value,where it stops working; carried wherever there is an edge to name
surfacing,form,recorded,,none,column,yes,,value,"the concrete shape, where the primitive has one"
manifest-fields,type,recorded,,value,column,yes,string;number;boolean;object;array;boolean|object;string|array;string|boolean,label,the JSON type the key takes
manifest-fields,consumer,recorded,,value,column,yes,show-repo;portable;session-hook,label,"which tool reads the key: show-repo (the shell presents the repo), portable (the conventions read it and show-repo ignores it), session-hook (a plugin hook reads it outside any page)"
manifest-fields,summary,recorded,,value,column,yes,,value,what the key does and who owns its value
manifest-fields,status,recorded,,none,column,yes,deprecated,label,set only where a key is superseded but still parsed
text-fields,audience,recorded,,value,column,yes,reader;editor,label,who the text under this field name is addressed to; the split that decides whether it belongs in a data file or in source
text-fields,gloss,recorded,,value,column,yes,,value,"what this field name means, in a sentence"
text-fields,use_when,recorded,,value,column,yes,,value,"the rule for picking this name over its neighbours, which is the part a definition alone never settles"
text-fields,instead_of,recorded,,none,column,yes,,value,"the names already in use that this one accounts for; the scan resolves them rather than reporting them as violations, so an existing file conforms by declaration rather than by rename"
app-routes,address,recorded,,counted,column,yes,,value,"the URL shape that opens it, e.g. ?view=map; blank on the shell row, which draws every route and is addressable as none of them"
app-routes,label,recorded,,value,column,yes,,value,its name in the nav and on the row
app-routes,group,recorded,,value,column,yes,repo;estate;shell,label,which context it is reached from
app-routes,what,recorded,,value,column,yes,,value,"what the destination is for, one line"
app-routes,files,recorded,,counted,column,no,,locator,"the files that render it, shell excluded. Blank is a finding, not a gap: three routes render from components defined inline in the shell and so have no code of their own, which the Routes pane counts rather than hides"
app-routes,note,recorded,,none,column,yes,,value,"why a row has no files, or what qualifies the row"
app-routes,alias,recorded,,none,column,yes,,locator,a retired key that still resolves
app-routes,tabs,recorded,,none,column,no,,label,the sub-tabs addressable within it
app-routes,stop,recorded,,counted,column,yes,,value,"the nav destination it is reached as. Several routes collapse onto one stop (Activity and Lists each gather more than one ?view= key), so this is the level the router flattens away; the gate holds every estate route's value to estateNav; blank on the shell row, which draws every route and is addressable as none of them"
app-routes,reads,recorded,,counted,column,no,,value,"the derived state sources this view consumes, semicolon-separated. The value domain is state-view.js's own source list rather than an enumeration here, so the two cannot part; the gate holds every entry to it and to a file on this row that actually reads it. Blank on 16 of 21, which is the reading the field exists to make: most destinations draw nothing the estate keeps derived"
registries,path,recorded,,value,column,yes,,locator,"the file the registry lives in; one table per file, so a path is a plain file path with nothing after it"
registries,key,recorded,,value,column,yes,,value,"the column that identifies a row, exempt from having a property definition of its own; several columns join with +"
registries,identity,recorded,,none,column,yes,,label,"the name space the key resolves into, so two registries' keys can be compared: path for a repo-relative path, path:<prefix> for one relative to a prefix, blank for an opaque name that never collides"
registries,membership,recorded,,value,column,yes,computed;curated,label,"whether the set of rows can be recomputed from the tree or the code, or is decided by curation. Only a computed set can be held to a coverage gate, because only it has something independent to be checked against"
registries,inherits,recorded,,none,column,yes,,locator,"another registry this one borrows descriptions from, by id, so a curated selection need not restate what a computed set already says. Blank is the normal state. Named the crosswalk kind until 2026-08-18, which said that a registry borrowed without saying from whom"
registries,target,recorded,,value,column,yes,,value,the thing a row asserts about; not always a file
registries,scope,recorded,,value,column,yes,,value,the population the registry covers
registries,span,recorded,,value,column,yes,hub;estate,label,"whether this checkout bounds the population, or a complete enumeration needs another repo; the typed sibling of scope, which says the same thing in prose and so cannot be grouped or counted"
registries,fields,recorded,,value,column,yes,governed;ungoverned,label,whether every non-key column of this registry must be a declared property
registries,gate,recorded,,value,column,yes,,locator,the test that fails when the registry and the repo disagree; none when nothing holds it
registries,area,recorded,,value,column,yes,files;names,label,the reader grouping in the Registries tab
registries,title,recorded,,value,column,yes,,value,display name
registries,gloss,recorded,,value,column,yes,,value,one line on what the registry is for
registries,renders_in,computed,tools/build/registries-reach.mjs,counted,column,no,,label,"the lib/, pages/ and app/ files naming the path in code; empty marks a registry no app surface reads"
properties,mode,recorded,,value,column,yes,recorded;computed,label,whether the value is authored or derived
properties,deriver,recorded,,counted,column,yes,,locator,"the script that computes the value, required when mode is computed"
properties,required,recorded,,value,column,yes,value;counted;none,label,"what the gate enforces: every row filled, blanks counted, or nothing"
properties,form,recorded,,value,column,yes,column;list,label,column reserves a slot on every row; list records only where the assertion holds
properties,exclusive,recorded,,value,column,yes,yes;no,label,whether one row may hold more than one value from the domain
properties,values,recorded,,none,column,yes,,value,"the value domain, semicolon separated, where it is closed; blank means open"
properties,column_primitive,recorded,,value,column,no,id;label;locator;value,label,"what kind of thing the column holds: an id identifies its row, a label draws from a declared set, a locator resolves to a target outside the row, and a value is the content itself. docs/column-primitives.md owns the four tests. exclusive is no because a column can pass two of them, as a unique path that also resolves does."
properties,gloss,recorded,,value,column,yes,,value,one line on what the property means
manifest-fields,required,recorded,,none,column,yes,yes;no,label,"whether a member of an array or object key must be present; blank on a top-level key, whose requiredness was never recorded"
repetitions,where,recorded,,value,column,yes,,locator,"the file, or the surface, carrying the repetition"
repetitions,relation,recorded,,value,column,yes,copy;paraphrase;pointer;live read,label,how the repetition stands to the authoritative version
repetitions,check,recorded,,counted,column,yes,,value,"the test holding this repetition to its owner; blank where nothing does, which is the honest state the table exists to show"
vocabularies,gloss,recorded,,value,column,yes,,value,"what this one value means, in the terms a reader picking among them needs"
vocabularies,label,recorded,,counted,column,yes,,label,"the display name for this value, where it differs from the value itself"
tracker-tags,tag,computed,.claude/skills/tasks/build-board.py,value,column,yes,,label,"the frontmatter key. Deliberately undeclared as a domain: the layer is open by design, so a closed set here would be the promotion TRACKER.md says to make in the generator instead"
tracker-tags,value,computed,.claude/skills/tasks/build-board.py,value,column,yes,,label,the scalar the task file gave that key
snags,title,computed,tools/build/snags-index.mjs,value,column,yes,,value,"the snag's one-line symptom, read off its heading"
snags,seen,computed,tools/build/snags-index.mjs,none,list,no,,value,"every date the snag was hit, oldest first; an undated entry is empty, not absent"
snags,count,computed,tools/build/snags-index.mjs,value,column,yes,,label,"how many times it bit, the field the recurrence rule turns on"
snags,last_seen,computed,tools/build/snags-index.mjs,none,column,yes,,value,"the most recent sighting, the log's own sort key"
snags,targets,computed,tools/build/snags-index.mjs,none,list,no,,locator,"the docs the entry points at with →, which carry the fix"
aims-goals,key,recorded,,none,column,yes,,id,"stable identifier, one word"
aims-goals,name,recorded,,none,column,yes,,value,the goal as a title
aims-goals,gloss,recorded,,none,column,yes,,value,the goal in one sentence
aims-reading,repo,recorded,,none,column,yes,,value,owner/repo when the document lives outside the hub; blank means the hub
aims-reading,path,recorded,,none,column,yes,,id,path within its repo
aims-reading,private,recorded,,none,column,yes,true,label,set when the link resolves only for the owner
aims-reading,gloss,recorded,,none,column,yes,,value,why this document is on the list
themes,a,computed,scripts/duplicated-claims.py,none,column,yes,,locator,"first file of the pair, sorted"
themes,b,computed,scripts/duplicated-claims.py,none,column,yes,,locator,second file of the pair
themes,w,computed,scripts/duplicated-claims.py,none,column,yes,,value,"shared 10-word windows, the edge weight"
themes,rule,computed,scripts/duplicated-claims.py,none,column,yes,true,label,whether the shared text states a rule
themes,quoted,computed,scripts/duplicated-claims.py,none,list,yes,,value,"sample runs of the shared text, semicolon-joined"
themes,shingle,computed,scripts/duplicated-claims.py,none,column,yes,,label,"words per window for this emission, identical on every row"
themes,scanned,computed,scripts/duplicated-claims.py,none,column,yes,,label,"files scanned for this emission, identical on every row"
sources,source,recorded,,none,column,yes,,locator,the named set a glob belongs to
sources,glob,recorded,,none,column,yes,,locator,"one path pattern, anchored to a real directory"
