key,type,consumer,status,required,summary
pages[].slug,string,show-repo,,no,"A short name for a promoted page, making `…/app/?app=<slug>` its address. Only meaningful with appView:true, since a slug resolves against the collected app views and nothing else knows where the page is. It is the page's NAME rather than its location, which is the whole saving: the path is most of an address and none of the meaning (151 to 166 characters as the five-key form the shell writes, 91 to 103 as `?app=owner/repo:path`, 52 to 58 as a slug, measured across the estate's six promoted pages 2026-09-04). Schema-optional, but DECLARE ONE ON EVERY PROMOTED PAGE: `stamp()` writes the slug when there is one and the five-key form otherwise, so a page without one cannot hold a short address even when a reader types the middle form, and the long form clears the 150-character line above which a URL in an MCP-written PR body renders as literal text. Lowercase and hyphenated by convention, and it must not parse as an `owner/repo[@ref]:path` address, which is how the two are told apart. Estate-wide namespace: `manifest-registry.test.mjs` fails a slug claimed by two repos, over the manifests on disk beside the checkout (its SIBLINGS list names which)."
pages[].query,string,show-repo,,no,"Query string handed to a promoted page, without the leading '?'. Only meaningful with appView:true. It exists because a page and what it should show are two facts: web-tools and home both promote pages/doc-growth.html and differ only in which payload it reads, so without this a manifest could name the page but not its subject. The query is part of the view's identity key, so two repos promoting one page with different queries are two entries rather than one. Reaches the page through toss-render's params shim, which patches URLSearchParams.prototype, since the embedded frame has no location.search of its own."
pins,array,show-repo,,,Folders and files surfaced in the sidebar Pinned block. A last segment with an extension opens as a file; otherwise it opens the Files view at that folder.
checks,array,show-repo,,,"Declared staleness checks, filling the sidebar's Needs attention block and badging the estate cards. Only what is not passing shows on either. Every kind is answerable from the API alone; the boundary is that a check asks about data and never runs code."
checks[].kind,string,show-repo,,yes,"One of content-date, file-age, newer-than, absent, dir-count, tracker."
checks[].path,string,show-repo,,yes,"What the check asks about. A glob for `absent`, a board.csv for `tracker`."
checks[].label,string,show-repo,,no,Row label. Accepted by every kind.
checks[].pattern,string,show-repo,,no,content-date: a regex with one capture group holding the date.
checks[].staleAfterDays,number,show-repo,,no,"content-date, file-age, tracker: the age at which the check fails."
checks[].sources,array,show-repo,,no,newer-than: the paths the target must not fall behind.
checks[].staleOver,number,show-repo,,no,dir-count: the count above which a folder meant to stay empty fails.
checks[].ignore,array,show-repo,,no,dir-count: names not counted. Defaults to .gitkeep.
checks[].awaitingOver,number,show-repo,,no,tracker: the number of tasks awaiting someone above which the check fails. Default 0.
links,string,show-repo,,,Path to the repo's links board (the store pages/links.html renders). The shell surfaces items flagged `rail: true` as the rail. Which board is this field; what is on the rail is the board itself.
projects,array,show-repo,,,"The repo's workspaces, as bare folder paths or { path, label, tracker, landing, inbox } objects. An entry's `inbox` is the repo-level field one level down, same grammar, naming where a deposit aimed at that workspace lands; unlike `tracker` it is declared rather than derived, because a board is a link whose wrong guess costs a 404 while an inbox is a write target whose wrong guess misfiles a deposit into a folder nothing drains. Rendered in three lists with one destination: the estate sidebar's Repos index, the repo's own sidebar, and the repo's Repos-grid card. The defining convention is that a workspace running a tracker is a project, so no separate registry says what counts. Edited in the Config view's Projects section, whose Scan reads the tree for that same convention (a folder carrying tracker/tasks/) and offers whatever this field does not yet declare."
projects[].path,string,show-repo,,yes,The workspace folder.
projects[].label,string,show-repo,,no,Display name. Defaults to the path's last segment.
projects[].tracker,string|boolean,show-repo,,no,A repo-root-relative file or folder naming a tracker elsewhere than the default <workspace>/tracker/board.md. false drops the task-board button.
projects[].landing,string,show-repo,,no,"The workspace's own front page, repo-root-relative. Takes the project view's Overview slot ahead of the README."
projects[].inbox,string,show-repo,,no,"Where a deposit aimed at this workspace lands, in the repo-level `inbox` grammar: a bare folder is repo-root-relative like `tracker` and `landing`, '@ref:dir' names a branch, and a full 'owner/repo[@ref]:dir' a box elsewhere. Optional, and unlike `tracker` it is declared rather than derived: a board is a link whose wrong guess costs a 404, while an inbox is a write target whose wrong guess files a deposit into a plausible folder nothing drains. Surfaces as a destination pill in the stage; a project that declares nothing offers none."
projects[].icon,string,show-repo,,no,Accepted and ignored. The rows draw no leading glyph.
tracker,string,show-repo,,,"Where the repo keeps its task board. Adds a Task board row to the repo's GitHub menu, the one row in that menu GitHub cannot name for itself. A path with an extension links the blob, a bare path the tree."
scope,string,show-repo,,,"The repo's own account of what it holds and why, headlining its card in the Map view. Either inline prose or a repo path ending in .md. The Map view stacks per-repo statements rather than keeping a central list."
skills,array,show-repo,,no,"The repo's OWN committed skills, one entry per directory under .claude/skills/, as bare names or { name, origin } objects. Deliberately not the plugin's: those install from the marketplace into every session and live in the plugin cache, never in a consuming repo's tree, so a repo's committed skill folder holds exactly what the hub did not ship it. The estate crawl already fetches this manifest for the adoption grade, so declaring skills here costs no extra request, and it keeps each repo the author of its own record rather than having the hub inspect nine trees. Rendered as the skills chip on the Repos card."
skills[].name,string,show-repo,,yes,"The directory name under .claude/skills/, which is also the slash command that invokes it."
skills[].origin,string,show-repo,,no,"Where the skill came from: local (grown in this repo, and deliberately not centralized, so it reads as a stated position and not a gap) or forked (a copy of a hub skill, which is drift and reads as a warning). There is no pulled value, because a pulled skill is never committed here. Defaults to local."
growth,string,show-repo,,no,"Path to this repo's doc-growth payload, the weekly size-and-churn series scripts/doc-growth.py emits. Declaring it enters the repo in the Map view's Growth tab, which reads the path through the viewer's token and points pages/doc-growth.html at it. A repo-level declaration rather than a promoted page: the chart is one instrument over many corpora, so two repos publishing a payload are two subjects for one view and not two views. The path is per repo on purpose, since the hub keeps its own under data/doc-growth/ and home keeps a single file at the root of data/."
surface,string|array,show-repo,,,"Path or paths to .surface files in this repo, surfaced under a per-repo section of the Stage's Saved pane and as a chip on the repo's card. Read-only in the estate."
stage,object,show-repo,,,A staged-files list and default transfer destinations the repo declares for itself.
stage.files,array,show-repo,,no,"Bare paths or qualified 'owner/repo[@ref]:path' refs. Seeded into the stage only when it is otherwise empty, so a working set the user built always wins. Read-only from show-repo since 2026-08-03; saving writes a .surface to the registry instead."
stage.targets,array,show-repo,,no,"Default transfer destinations as 'owner/repo:dir' strings, offered in the Copy-to-repo field."
hidden,array,show-repo,,,"Registry-only: the estate members the viewer would rather not see, as owner/repo strings. Read from the private registry's own manifest and honoured by the sidebar Repos index, the app-view nav, the Repos grid and the activity crawl; a hidden repo keeps estate:true and every field it declared, and the Repos view's folded Hidden section shows it again. The one field here that is a property of the VIEWER rather than of the repo it names, which is why it lives in the registry and not in that repo's config."
conventions,string,portable,,,"'optout' marks a repo that has deliberately not adopted the portable conventions, so a session-start nudge stops asking. Absent means unset."
sessions,string,session-hook,,,"Path to the directory where this repo keeps its session records. Declaring it makes the repo the store for the portable plugin's Stop hook, which finds the store by reading this field rather than by knowing a repo name. At most one checkout per session should declare it; the first found wins."
quickLink,boolean|object,show-repo,deprecated,,"Superseded by `icon` plus `estate`, which the header quick-link strip now projects from. Still present in home's and chat-histories' manifests and still parsed, but it declares nothing the roster does not already carry. Documented here because it is in use: a registry that omitted it would report those two repos as clean while a live key went unexplained."
showing,object,portable,,,"How a render link is picked for this repo. `hosted: false` says the repo serves no Pages site, so every hosted form is off the table and only the toss reaches anything. `app`, `app_dir` and `views` declare the one app that frames the repo's pages: a change under a view's prefix links the app carrying that view (`?view=<key>`), a change under `app_dir` links the app bare, and any other HTML file is tossed on its own and reported as undeclared. Declared rather than derived because the app's view table is JavaScript and a view's folder is not its key."
