key,address,label,stop,group,what,files,note,doc,tabs,alias,reads
sessions,?view=sessions,Sessions,Activity,estate,"The estate's session records, in four lenses. List nests each session's branches under it as state-tinted tiles; Stars, Repos and Counts draw the session-to-branch relation itself. A session known only from a branch commit trailer appears as a stub, and a branch no key places is listed as unattributed. `&set=<ids>` narrows the pane to a named set of sessions, in the order the link names them, and the deck swipes that set because the deck's sequence has always been the visible list.",lib/alpineComponents/estate.js;lib/alpineComponents/session-brief.js;lib/kits/branch-status.js;lib/kits/repo-activity-cache.js;lib/kits/repo-sessions-cache.js;lib/kits/session-export.js;lib/kits/session-render.js;lib/kits/session-index.js,"A set is a SCOPE, not a fourth filter. Every other narrowing here is a query (a window, a repo, a closing state) and none can say ""these seven, because somebody read them and picked them""; membership is the rule a query cannot write. Being a scope is what makes the swipe, the Table lens's session and pair grains, and the chip row free. It carries short ids, so a set outruns the pane where the crawl has not folded an id in: the chip counts what the LINK named and a line under it counts what this crawl can draw. `&set=` alone lands on the list, which answers how many and which; adding `&session=` opens the deck on one member.",docs/views/sessions.md,,activity,activity;sessions;titles
writes,?view=writes,Writes,Activity,estate,"The estate's commit stream read for WHO WROTE IT, in seven kinds, and for the one split that matters: development history (a session, a merge, a person, CI) against application state (the app's crawl, a tap in the app, the phone's log). Three writers share one GitHub identity here, so the author name settles almost nothing and the subject line is the signal. Renders from the activity cache the Branches pane already keeps, so the default reading costs no request; one control reads a hundred commits per repo when the cache's window is too short, which it is wherever the app writes most.",lib/kits/write-kinds.js,"The accent marks the development/application-state split and nothing else: seven colours would mean none of them did. The `device` kind alone is a heuristic over an observed vocabulary and is marked unsure on the pane, since a guess that cannot be told from a fact is the failure the field prevents.",docs/views/writes.md,,,
chats,?view=chats,Chats,Activity,estate,The conversation archive: the venue with no key joining it to a branch. The pane pages one month of catalog shards at a time and its box narrows what is loaded; searching every month is the Files view's Chats lane.,lib/alpineComponents/estate.js;lib/kits/chat-archive.js;lib/kits/chat-render.js;lib/kits/estate-search.js,,docs/views/chats.md,,,
routes,?view=routes,Views,Map,estate,"Every address the app can be sent to, ranked by when the code behind each last moved, with whatever pull request is open against it now.",docs/app-routes.csv;lib/alpineComponents/map.js;lib/kits/route-activity.js;docs/vocabularies.csv,"A tab of the Map view since 2026-09-08, addressed as ?view=map&tab=views; ?view=routes was its own Activity pane until then and still resolves, forwarding here. Named Views rather than Routes because this component already carries a different routes table, the Showing tab's address grammar, and because a row here IS a ?view= key.",docs/views/map.md,,,
todo,?view=todo,To-do,Lists,estate,"The two personal piles, to-do over jot, in one pane.",lib/alpineComponents/estate.js,,docs/views/todo.md,,,
jots,?view=jots,Jot,Lists,estate,The same pane as to-do; the key survives so a saved link lands somewhere real.,lib/alpineComponents/estate.js,,docs/views/todo.md,,,
map,?view=map,Map,Map,estate,"The coordination layer made inspectable: Distribution, Surfacing, Showing, Docs with Inventory, Purpose, and Growth, Themes, Harness, Kits, Skills, Views, and Registries.",docs/aims.json;docs/properties.csv;docs/registries.csv;docs/routes.json;docs/surfacing.csv;docs/kits.csv;skills/manifest.csv;lib/alpineComponents/map.js,"A tab is usually a registry's detail view, so a registry earns one when its rows read as a filterable list; rows with a rendering of their own (pages, tasks, utility pages) get their view elsewhere in the app. Docs/Purpose renders docs/aims.json and is not a registry reading: five goals classify nothing, so its file reads like routes.json",docs/views/map.md,aims;set;surfacing;showing;docs;claims;tests;harness;kits;views;skills;registries,portable,configs;sessions
tools,?view=tools,Tools,Tools,estate,The curated gallery of utility pages.,docs/tools.csv;lib/alpineComponents/tools.js,,docs/views/tools.md,,,
search,?view=search,Search,Search,estate,"Find files and records: search names at any ref under any folder, search contents, grep the session records, search the chat archive's catalog, and read a hit in place.",lib/alpineComponents/path-picker.js;lib/alpineComponents/ref-picker.js;lib/alpineComponents/search-view.js;lib/alpineComponents/viewer.js;lib/kits/chat-archive.js;lib/kits/estate-search.js;lib/kits/session-index.js,"The ?view= key is `search`, its name since the view was a results list. It was labelled Files from the retirement of the per-repo tree walk until 2026-09-24, when browsing returned to a Files view of its own (`files`) and this one went back to searching. Two of the four lanes search a CORPUS rather than the repos (Sessions, Chats) and so take no repo, ref or folder; the controls that name those stand down together under them.",docs/views/search.md,,,sessions;titles
state,?view=state,State,Activity,estate,"What the estate keeps derived, when each cache was last checked, and what the estate itself did in the last day or week, as a rail of one tick per commit and per session active.",lib/alpineComponents/state-view.js;lib/kits/crawl-runs.js,"Activity's last pill since 2026-08-23. It was a nav stop of its own, which put the estate's motion in two places: this pane answers whether the other pills are current, and that question is asked of them.",docs/views/state.md,,,
proposals,?view=proposals,Proposals,Proposals,estate,Pending cross-repo edits awaiting a confirm; shown in the nav only while something waits.,lib/alpineComponents/proposals.js;lib/kits/repo-proposals.js,,docs/manifest.md,,,
public,?view=public,Public browse,Public browse,shell,The tokenless read of any public repo.,lib/alpineComponents/public-browse.js,,docs/show-repo.md,,,
app,?app=<slug> | ?app=owner/repo[@ref]:path | ?view=app&appRepo=<owner/repo>&appPath=<path>,App view,App view,shell,"A page some repo promotes, rendered live through toss-render; one address, many destinations.",pages/toss-render.html,"Not a screen this repo draws: the shell frames whatever page the address names. Three spellings, one destination; the short form is what stamp() writes when the open page declares a slug. A deep link into the framed page rides the FRAGMENT, which is the subject's namespace (the shell's is the query), with ?on= as the query fallback for a context that eats the '#'. See lib/kits/url-params.js subject(). The open view takes the tab too: its name leads the title and the framed page's own icon replaces the hex nut on both the favicon and the apple-touch link, announced up by toss-render on toss-subject-mark. It is also the one route whose shell default is `none`, so ?app=<slug> opens the page bare and carries neither a view= nor a shell= key.",docs/show-repo.md,,,
