id,path,key,identity,membership,inherits,target,scope,span,fields,gate,area,title,gloss,renders_in
routes-kinds,docs/routes-kinds.csv,kind,,curated,,a kind of content,"what a subject IS, one level under the showing frame's subject axis: how it is recognized, the viewer mode it opens in, the route that addresses it, and the units a note can be pinned to inside it. Owner of ViewRegistry.KIND_VIEW and of kits/md-doc.js's declared KIND literal",hub,governed,tools/test/routes-manifest.test.mjs,names,Content kinds,"What each kind of content is, how it is recognized, what opens it, and what a note can aim at inside it.",lib/alpineComponents/map.js
showing-mechanisms,docs/showing-mechanisms.csv,key,,curated,,a showing mechanism,"the links that can show a change, what each reaches and misses; rendered as the Map view Showing tab",hub,governed,tools/test/routes-manifest.test.mjs,names,Showing mechanisms,"Which link reaches which kind of change, and what each one silently misses.",lib/alpineComponents/map.js
routes-paste,docs/routes-paste.csv,surface,,curated,,a surface that takes a paste,"what a pasted thing becomes on each surface that reads the clipboard, and what each declines to; the address grammar read backwards, where every other routes registry is about minting one",hub,governed,tools/test/routes-manifest.test.mjs,names,Paste behavior,"What a paste becomes on each surface that reads the clipboard, and where the ones that route decline to.",lib/alpineComponents/map.js
skills,skills/manifest.csv,name,,computed,,a skill,every directory under skills/,hub,governed,tools/test/skills-registry.test.mjs,files,Skill roster,"The skills this repo ships, each carrying the trigger description its own SKILL.md owns.",lib/alpineComponents/map.js
surfacing,docs/surfacing.csv,key,,curated,,a surfacing primitive,"the primitives SURFACING.md defines. The PROSE stays authoritative and this is its gated index, so ownership runs opposite to every other registry here; declaring its fields governs the INDEX, not the definitions",hub,governed,tools/test/surfacing-manifest.test.mjs,names,Surfacing primitives,"The gated index of SURFACING.md’s primitives, the prose staying authoritative.",lib/alpineComponents/map.js
tests,docs/tests.csv,path,path,computed,,a test file,every .mjs under tools/test/ except the declared shared helpers,hub,governed,tools/test/tests-registry.test.mjs,files,Test coverage map,"Every check in the suite, what kind it is, and what breaks if it is deleted.",lib/alpineComponents/fab.js;lib/alpineComponents/map.js
text-fields,docs/text-fields.csv,field,,curated,,a prose field name,"the names a prose-bearing CSV column or JSON key may carry, estate-wide; portable, since a concept named once should be the same concept in every repo",estate,governed,tools/test/text-fields-registry.test.mjs,names,Prose field vocabulary,"The sanctioned names for a prose-bearing field, so one concept is not called four things across four carriers.",lib/alpineComponents/map.js
tools,docs/tools.csv,path,path,curated,pages,a utility page,"the pages the Tools view shows; a crosswalk over pages, which owns each page's title and description. Every bare hub path must resolve to a row in pages/pages.csv",hub,governed,tools/test/properties-registry.test.mjs,files,Tools gallery,"The authored selection of pages the Tools view shows, and the icon each is given; a crosswalk over the page gallery.",lib/alpineComponents/tools.js
tracker-tasks,tracker/board.csv,id,,computed,,a tracker task,every task file under tracker/tasks/,hub,governed,tools/test/derived-artifacts.test.mjs,files,Tracker board,"Every task in the project tracker, its state, size, and activity, derived from the task files.",app/index.html
tracker-tags,tracker/board-tags.csv,task+tag,,computed,,an open tag on a tracker task,"every frontmatter key a task file carries that the generator does not recognize, one row per pair. The second grain of the same source: TRACKER.md keeps the tag layer open, so it cannot be columns, and a CSV holds one table",hub,governed,tools/test/derived-artifacts.test.mjs,files,Tracker open tags,"The unrecognized frontmatter a task carries, preserved so a consumer can select on it before the generator learns it.",app/index.html
app-routes,docs/app-routes.csv,key,app route,curated,,a show-repo address,"the ?view= keys show-repo.html's VIEWS table dispatches, and for each the files that render it and the derived caches it consumes; not toss routes, which are a content type mapped to a renderer page and answer to routes-routes, and not pages, which pages/pages.csv owns: app/index.html carries every route in this table, so a routed view is a destination inside one page rather than a page of its own, subtracted here the way harness subtracts tools/test/",hub,governed,tools/test/app-routes.test.mjs,names,App route inventory,"Every destination the show-repo app can be sent to, what it is for, which files draw it, and which of the estate's derived caches it reads.",lib/alpineComponents/branch-brief.js;lib/alpineComponents/estate.js;lib/alpineComponents/state-view.js
registries,docs/registries.csv,id,registry-id,curated,,a registry,"registries the estate declares. Curated, not computed: no rule decides whether a file is a registry, which is why this table missed itself and .paths.json",estate,governed,tools/test/properties-registry.test.mjs,files,Registries,"every registry the estate declares: where it lives, what it asserts about, and what holds it",lib/alpineComponents/map.js
properties,docs/properties.csv,registry+property,,computed,,a property one registry records about its targets,"every column of every registry in registries.csv, except each registry's key, which is the row's identity rather than a fact about it",hub,governed,tools/test/properties-registry.test.mjs,names,Properties,"every column of every registry: what it means, how it arises, and what it may hold",lib/alpineComponents/map.js
repetitions,docs/repetitions.csv,subject+where,,curated,,"one repetition of a statement, somewhere other than its owner","every place a registered statement is said again; curated alongside owners.csv, which names the statement",estate,governed,tools/test/owners-registry.test.mjs,names,Statement repetitions,"for each statement the coordination layer repeats, where the copy sits, how it relates, and what holds it",lib/alpineComponents/map.js
vocabularies,docs/vocabularies.csv,registry+property+value,,computed,,one value of one closed domain,every value of every closed domain declared in properties.csv that is worth a gloss; a domain whose values speak for themselves needs no rows,hub,governed,tools/test/properties-registry.test.mjs,names,Value glosses,"what each value of a closed domain means, which the domain column itself cannot carry",lib/alpineComponents/branch-brief.js;lib/alpineComponents/estate.js;lib/alpineComponents/map.js
snags,docs/snags.csv,slug,slug,computed,,one snag: a friction trip recorded in docs/SNAGS.md,"every `### slug: title` entry in docs/SNAGS.md; the log is the source and this is its extraction, so an entry cannot exist in one and not the other",hub,governed,tools/test/derived-artifacts.test.mjs,names,Snag index,"Each recorded friction trip, how often it bit, when it last did, and the doc carrying the fix. The prose explaining each one stays in docs/SNAGS.md.",
