id,title,status,project,depends-on,opened,closed,session,size,awaiting,blockedBy,file,href,lastActivity,logEntries
build-on-commit-hook-silent-bokkl3,"The build-on-commit hook did not fire, and nothing said so",done,tooling,,2026-07-26,2026-08-02,,,,,build-on-commit-hook-silent-bokkl3.md,tasks/build-on-commit-hook-silent-bokkl3.md,2026-08-02,2
caption-guide-region-delimiter-w9dpyv,Teach the guide region a delimiter that survives an agent's readback,done,,,2026-07-28,2026-07-28,claude/budget-drs-tracker-review-s64mc6,,,,caption-guide-region-delimiter-w9dpyv.md,tasks/caption-guide-region-delimiter-w9dpyv.md,2026-08-05,3
chat-results-surface-profile-q4m8ra,"Fold chat-results into the surface schema, or keep it a sibling",done,,,2026-07-22,2026-08-02,claude/web-tools-project-tracker-reo5qo,,,,chat-results-surface-profile-q4m8ra.md,tasks/chat-results-surface-profile-q4m8ra.md,2026-08-02,2
code-layer-taxonomy-q15jp2,Name the code layers and account for tools/,done,,,2026-08-04,2026-08-06,claude/web-tools-tracker-review-ij4pjj,,,,code-layer-taxonomy-q15jp2.md,tasks/code-layer-taxonomy-q15jp2.md,2026-08-06,2
collapse-quicklinks-projection-80oprp,Collapse quickLinks into a projection of the repos manifest,done,show-repo,,2026-07-17,2026-07-28,claude/tracker-status-cjogjn,,,,collapse-quicklinks-projection-80oprp.md,tasks/collapse-quicklinks-projection-80oprp.md,2026-07-28,3
comment-trim-rule-first-b0o3bu,"Trim code commentary to its criterion, rule first",backlog,,,2026-09-08,,,L,,,comment-trim-rule-first-b0o3bu.md,tasks/comment-trim-rule-first-b0o3bu.md,2026-09-10,4
consolidate-escape-helpers-gxverk,"One HTML-escape helper, and decoding left to the source that knows",done,,,2026-08-18,2026-08-26,claude/web-tools-tracker-review-2vumr8,S,,,consolidate-escape-helpers-gxverk.md,tasks/consolidate-escape-helpers-gxverk.md,2026-08-26,2
cross-repo-edit-proposals-evo1ml,Confirm-gated cross-repo edit proposals via a web-tools-private channel,done,,,2026-07-23,2026-07-28,claude/tracker-status-cjogjn,,,,cross-repo-edit-proposals-evo1ml.md,tasks/cross-repo-edit-proposals-evo1ml.md,2026-07-28,2
data-view-consume-fragment-nxlpbs,Have data-view open at an addressed item via the fragment,done,,toss-fragment-passthrough-558xcw,2026-07-25,2026-08-06,claude/web-tools-tracker-review-ij4pjj,,,,data-view-consume-fragment-nxlpbs.md,tasks/data-view-consume-fragment-nxlpbs.md,2026-08-06,2
data-view-mobile-chrome-x5plcv,Reclaim the phone viewport in data-view,done,,,2026-07-25,2026-08-02,claude/web-tools-project-tracker-reo5qo,,,,data-view-mobile-chrome-x5plcv.md,tasks/data-view-mobile-chrome-x5plcv.md,2026-08-02,3
docs-read-tracking-sn9nj8,Read-tracking for docs: which files sessions actually open,done,,,2026-08-04,2026-08-06,claude/show-repo-progress-b8l63x,,,,docs-read-tracking-sn9nj8.md,tasks/docs-read-tracking-sn9nj8.md,2026-08-06,3
document-structure-harness-4mz7wk,A multi-method harness for extracting structure from scanned documents,done,,,2026-07-25,2026-08-25,,,,,document-structure-harness-4mz7wk.md,tasks/document-structure-harness-4mz7wk.md,2026-08-25,4
enforce-house-style-ryz0z5,"Enforce the house style, now that it is findable",backlog,,,2026-08-30,,,M,,,enforce-house-style-ryz0z5.md,tasks/enforce-house-style-ryz0z5.md,2026-09-01,2
estate-activity-signals-cache-38eze9,Estate activity signals from a registry activity cache,done,show-repo,,2026-07-17,2026-07-26,claude/branches-view-api-caching-ef4l5d,,,,estate-activity-signals-cache-38eze9.md,tasks/estate-activity-signals-cache-38eze9.md,2026-07-26,3
estate-cards-icon-cluster-txr3os,Estate cards still carry the retired three-icon cluster,done,,,2026-07-26,2026-08-02,claude/web-tools-project-tracker-reo5qo,,,,estate-cards-icon-cluster-txr3os.md,tasks/estate-cards-icon-cluster-txr3os.md,2026-08-02,2
estate-js-commentary-read-mymt4u,Read estate.js's commentary the way show-repo.html's was read,backlog,,,2026-08-10,,,M,,,estate-js-commentary-read-mymt4u.md,tasks/estate-js-commentary-read-mymt4u.md,2026-09-04,2
estate-rows-tests-stale-7r39ry,Update estate tests to the groupSections layout,done,,,2026-07-18,2026-07-22,claude/viewer-button-dropdown-0h4u57,,,,estate-rows-tests-stale-7r39ry.md,tasks/estate-rows-tests-stale-7r39ry.md,2026-07-22,2
extract-drop-zone-component-ckg7l1,Extract drop-zone as a reusable Alpine component,done,,,2026-07-14,2026-07-15,claude/tracker-summary-nu74te,,,,extract-drop-zone-component-ckg7l1.md,tasks/extract-drop-zone-component-ckg7l1.md,2026-07-18,3
fab-capture-button-f6q38m,"Persist FAB captures, the write path to state/captures/",backlog,show-repo,,2026-07-26,,,S,,,fab-capture-button-f6q38m.md,tasks/fab-capture-button-f6q38m.md,2026-08-07,3
fab-declared-embeds-1jtpll,Generalize FAB embed handling to declared embeds,done,,,2026-07-22,2026-08-02,,,,,fab-declared-embeds-1jtpll.md,tasks/fab-declared-embeds-1jtpll.md,2026-08-02,2
fab-subject-side-actions-t7r4nc,"Let the FAB collect a toss subject's page actions, not just the shell's",done,fab,,2026-07-27,2026-08-02,,,,,fab-subject-side-actions-t7r4nc.md,tasks/fab-subject-side-actions-t7r4nc.md,2026-08-02,2
file-review-collapsed-density-2rvxfn,Give the file-review collapsed row more than a name and a count,done,web-tools,,2026-07-26,2026-08-06,claude/show-repo-progress-b8l63x,,,,file-review-collapsed-density-2rvxfn.md,tasks/file-review-collapsed-density-2rvxfn.md,2026-08-06,2
files-pane-finds-deck-reads-ubu13s,"Let the Files pane find and the deck read, and stop it doing both",backlog,web-tools,,2026-08-26,,,M,,,files-pane-finds-deck-reads-ubu13s.md,tasks/files-pane-finds-deck-reads-ubu13s.md,2026-09-04,2
focus-a-ui-component-f0awt7,Let a brief cover one picked region instead of a whole page,backlog,,,2026-07-26,,,M,,,focus-a-ui-component-f0awt7.md,tasks/focus-a-ui-component-f0awt7.md,2026-09-04,2
generalize-gallery-pages-catalog-m3b8pa,Generalize the gallery to a per-repo pages catalog,done,,,2026-07-18,2026-07-19,claude/web-tools-app-views-m3pkyo,,,,generalize-gallery-pages-catalog-m3b8pa.md,tasks/generalize-gallery-pages-catalog-m3b8pa.md,2026-07-19,5
github-jumpover-coverage-7bkgmk,Finish GitHub jump-over coverage across show-repo views,done,show-repo,,2026-07-17,2026-07-30,claude/github-icon-placement-3d06i7,,,,github-jumpover-coverage-7bkgmk.md,tasks/github-jumpover-coverage-7bkgmk.md,2026-07-30,2
graphql-schema-contract-check-cpuvb5,Check GraphQL query shape offline against GitHub's published schema,done,show-repo,,2026-07-26,2026-07-30,claude/web-tools-tracker-review-bw48ga,,,,graphql-schema-contract-check-cpuvb5.md,tasks/graphql-schema-contract-check-cpuvb5.md,2026-07-30,2
growth-vs-reads-quadrant-ng3c97,"Read a document's growth against its readership, on the Docs tab",backlog,,,2026-08-28,,,M,,,growth-vs-reads-quadrant-ng3c97.md,tasks/growth-vs-reads-quadrant-ng3c97.md,2026-09-04,2
history-safe-toss-render-shim-hkih5m,History-safe shim for toss-render address-mode renders,done,show-repo,,2026-07-17,2026-07-17,,,,,history-safe-toss-render-shim-hkih5m.md,tasks/history-safe-toss-render-shim-hkih5m.md,2026-07-17,1
integrate-stage-surfacer-format-3bvg2v,Integrate the stage with the surfacer's .surface format,done,,stage-links-main-area-explorer-7a6gd7,2026-07-14,2026-08-03,,,,,integrate-stage-surfacer-format-3bvg2v.md,tasks/integrate-stage-surfacer-format-3bvg2v.md,2026-08-03,5
laptop-self-hosted-runner-6a0n5f,Connect the laptop as an unattended venue for repo work,done,repo,,2026-08-09,2026-08-10,,M,,,laptop-self-hosted-runner-6a0n5f.md,tasks/laptop-self-hosted-runner-6a0n5f.md,2026-08-10,2
lib-load-race-on-slow-connections-9kx2mv,Guard every lib-booting page against the Alpine load race,done,,,2026-07-26,2026-08-02,claude/web-tools-project-tracker-reo5qo,,,,lib-load-race-on-slow-connections-9kx2mv.md,tasks/lib-load-race-on-slow-connections-9kx2mv.md,2026-08-02,2
lib-root-kit-migration-dind5t,One logic shelf: move every window-namespace module into lib/kits/,done,web-tools,,2026-07-26,2026-08-08,claude/lib-kits-migration-review-ouipa1,,,,lib-root-kit-migration-dind5t.md,tasks/lib-root-kit-migration-dind5t.md,2026-08-08,6
live-confirm-graphql-queries-7maacy,Live-confirm the BranchSessions query,backlog,show-repo,,2026-07-26,,,XS,,,live-confirm-graphql-queries-7maacy.md,tasks/live-confirm-graphql-queries-7maacy.md,2026-09-04,5
one-copy-of-the-conventions-i9i931,Stop storing the conventions twice,backlog,,,2026-08-31,,,S,a decision on whether to depend on the marketplace clone's path (stage 2 only; stage 1 is startable now),,one-copy-of-the-conventions-i9i931.md,tasks/one-copy-of-the-conventions-i9i931.md,2026-09-04,3
one-repo-address-parser-5gtv92,One parser for the owner/repo[@ref]:path address,done,,,2026-07-25,2026-07-30,claude/web-tools-tracker-review-bw48ga,,,,one-repo-address-parser-5gtv92.md,tasks/one-repo-address-parser-5gtv92.md,2026-07-30,3
own-json-tree-retire-vje-i0lcj2,"Build our own JSON tree for display, keep vanilla-jsoneditor for editing",backlog,,,2026-07-25,,,M,,,own-json-tree-retire-vje-i0lcj2.md,tasks/own-json-tree-retire-vje-i0lcj2.md,2026-09-04,2
pane-width-not-window-width-wnabwo,Audit the app's views for viewport breakpoints inside the content pane,backlog,repo,,2026-08-23,,,S,,,pane-width-not-window-width-wnabwo.md,tasks/pane-width-not-window-width-wnabwo.md,2026-09-04,3
pdf-flow-start-does-not-hold-461ldz,pdf.flow's `start` does not survive the column's own layout,done,,,2026-08-29,2026-09-05,claude/budget-drs-kits-analysis-krcugt,S,,,pdf-flow-start-does-not-hold-461ldz.md,tasks/pdf-flow-start-does-not-hold-461ldz.md,2026-09-05,2
pdf-inspect-pinch-zoom-5wz3kt,Pinch-zoom and pan for pdf-inspect's page view,backlog,,,2026-07-26,,,M,,,pdf-inspect-pinch-zoom-5wz3kt.md,tasks/pdf-inspect-pinch-zoom-5wz3kt.md,2026-07-26,1
pdf-lattice-open-perimeter-h4kx9r,Close open table perimeters in the pdf kit's lattice,backlog,,,2026-07-25,,,M,,,pdf-lattice-open-perimeter-h4kx9r.md,tasks/pdf-lattice-open-perimeter-h4kx9r.md,2026-07-25,1
pdf-table-splitter-page-q7vm2d,"Draggable column boundaries with live reassignment, in pdf-inspect",backlog,,,2026-07-25,,,S,,,pdf-table-splitter-page-q7vm2d.md,tasks/pdf-table-splitter-page-q7vm2d.md,2026-09-04,4
pr-body-open-threads-z5o66p,Make the PR bodies' open threads readable as one list,backlog,,,2026-08-09,,,M,,,pr-body-open-threads-z5o66p.md,tasks/pr-body-open-threads-z5o66p.md,2026-09-04,2
private-repo-landing-federation-u50nns,Private-repo landing federation via the home registry,done,,,2026-07-08,2026-07-28,,,,,private-repo-landing-federation-u50nns.md,tasks/private-repo-landing-federation-u50nns.md,2026-07-28,2
promote-shortcuts-skill-to-plugin-5d74br,Decide whether apple-shortcuts-actions belongs in the portable plugin,backlog,,,2026-08-10,,,S,,,promote-shortcuts-skill-to-plugin-5d74br.md,tasks/promote-shortcuts-skill-to-plugin-5d74br.md,2026-09-04,1
proposals-diff-and-removal-w1y9lk,Two gaps the proposal channel showed on first use,done,show-repo,,2026-07-28,2026-08-02,claude/web-tools-project-tracker-reo5qo,,,,proposals-diff-and-removal-w1y9lk.md,tasks/proposals-diff-and-removal-w1y9lk.md,2026-08-02,4
registry-authored-derived-split-v3qm2x,Separate authored from derived data across the registries,backlog,,,2026-08-18,,,L,,,registry-authored-derived-split-v3qm2x.md,tasks/registry-authored-derived-split-v3qm2x.md,2026-09-10,4
render-copy-runtime-cdn-refs-p4m2wq,Inline the run-time CDN references a rendering copy still carries,backlog,export,,2026-07-27,,,S,,,render-copy-runtime-cdn-refs-p4m2wq.md,tasks/render-copy-runtime-cdn-refs-p4m2wq.md,2026-09-04,2
render-large-files-toss-render-xm9ex7,Render files over 1 MB in toss-render and the shell viewers,done,show-repo,,2026-07-17,2026-07-17,,,,,render-large-files-toss-render-xm9ex7.md,tasks/render-large-files-toss-render-xm9ex7.md,2026-07-17,3
repo-inbox-outbox-manifest-0g6c8s,Repo-designated inbox and outbox in .web-tools.json,done,repo,,2026-07-15,2026-07-28,claude/tracker-status-cjogjn,,,,repo-inbox-outbox-manifest-0g6c8s.md,tasks/repo-inbox-outbox-manifest-0g6c8s.md,2026-07-28,3
repo-level-github-links-shield-9aufgx,Repo-level GitHub links in show-repo's shield dialog,done,,,2026-07-14,2026-08-02,,,,,repo-level-github-links-shield-9aufgx.md,tasks/repo-level-github-links-shield-9aufgx.md,2026-08-02,2
retire-shell-name-the-parts-r152bt,"Retire `shell`, and name the parts instead of the collection",backlog,show-repo,,2026-08-15,,,M,,,retire-shell-name-the-parts-r152bt.md,tasks/retire-shell-name-the-parts-r152bt.md,2026-09-04,3
session-link-from-commit-trailer-7a407c,"Resolve a branch's session from the commit trailer, not the open PR body",done,show-repo,,2026-07-26,2026-07-26,claude/active-work-branches-sd289p,,,,session-link-from-commit-trailer-7a407c.md,tasks/session-link-from-commit-trailer-7a407c.md,2026-07-26,3
session-start-nudge-unconfigured-z0g4zn,Session-start nudge for repos that never opted in,done,conventions,,2026-07-15,2026-09-10,claude/zealous-fermat-s12v9r,S,,,session-start-nudge-unconfigured-z0g4zn.md,tasks/session-start-nudge-unconfigured-z0g4zn.md,2026-09-10,4
session-titles-from-export-4vgu4x,"Carry real session titles from the Dispatch export, without depending on it",done,show-repo,,2026-08-10,2026-08-20,claude/session-titles-join-7wq3vz,M,,,session-titles-from-export-4vgu4x.md,tasks/session-titles-from-export-4vgu4x.md,2026-08-26,3
show-repo-edit-web-tools-json-ygramz,"Retire .show-repo.json, delete the legacy file on migrate, drop the read fallback",done,show-repo,,2026-07-15,2026-08-15,claude/centralize-file-viewer-search-en30ye,S,,,show-repo-edit-web-tools-json-ygramz.md,tasks/show-repo-edit-web-tools-json-ygramz.md,2026-08-15,3
show-repo-first-class-projects-7stibm,"show-repo - first-class projects, defined by tracker presence",done,,,2026-07-22,2026-07-31,claude/project-pages-docs-udzi51,,,,show-repo-first-class-projects-7stibm.md,tasks/show-repo-first-class-projects-7stibm.md,2026-07-31,3
sidebar-compare-view-lkjang,"Give the sidebar a compare-against ref, and collapse the card's source tabs",done,,,2026-08-14,2026-08-15,claude/pr-file-swiping-jgj0kc,L,,,sidebar-compare-view-lkjang.md,tasks/sidebar-compare-view-lkjang.md,2026-08-15,2
singleton-fab-toss-render-gticvb,Singleton fab with toss-render integration,done,,,2026-07-08,2026-07-26,claude/fab-render-toss-render-ua6p3p,,,,singleton-fab-toss-render-gticvb.md,tasks/singleton-fab-toss-render-gticvb.md,2026-07-26,5
skillify-orphan-docs-izv20p,"Route the orphan docs by cause, per the 2026-08-05 classification",done,,,2026-07-30,2026-08-16,claude/web-tools-docs-assessment-dc9bqv,S,,,skillify-orphan-docs-izv20p.md,tasks/skillify-orphan-docs-izv20p.md,2026-08-16,5
speed-up-show-repo-cold-load-u3846j,Speed up show-repo's cold load,done,repo,,2026-07-13,2026-07-13,claude/speed-up-show-repo-load-3cdvl0,,,,speed-up-show-repo-cold-load-u3846j.md,tasks/speed-up-show-repo-cold-load-u3846j.md,2026-07-18,5
spike-snags-log-gobdyq,Spike the snags log (friction learned the hard way),done,repo,,2026-07-15,2026-09-04,,M,,,spike-snags-log-gobdyq.md,tasks/spike-snags-log-gobdyq.md,2026-09-04,5
split-show-repo-doc-3zh8xw,Split docs/show-repo.md along the app's structure,done,show-repo,,2026-08-16,2026-08-16,claude/web-tools-app-concept-crg8sl,L,,,split-show-repo-doc-3zh8xw.md,tasks/split-show-repo-doc-3zh8xw.md,2026-08-16,3
split-stage-contract-74a7vh,Split the stage contract out of show-repo.md,done,,,2026-08-16,2026-08-16,,M,,,split-stage-contract-74a7vh.md,tasks/split-stage-contract-74a7vh.md,2026-08-16,2
stage-diff-b-select-desync-v554kn,Fix the stage Diff lens B-select display desync,done,,,2026-07-20,2026-07-20,claude/web-tools-diff-review-s0nrq7,,,,stage-diff-b-select-desync-v554kn.md,tasks/stage-diff-b-select-desync-v554kn.md,2026-07-20,2
stage-link-grammar-portable-docs-jukn37,Propagate the stage link's new grammar to the portable docs,done,,,2026-07-21,2026-07-26,claude/stage-link-grammar-docs-jukn37,,,,stage-link-grammar-portable-docs-jukn37.md,tasks/stage-link-grammar-portable-docs-jukn37.md,2026-07-26,3
stage-link-onto-url-params-u9o7ny,Move StageLink.read onto the shared fragment-first param read,done,,one-repo-address-parser-5gtv92,2026-07-25,2026-08-02,claude/web-tools-project-tracker-reo5qo,,,,stage-link-onto-url-params-u9o7ny.md,tasks/stage-link-onto-url-params-u9o7ny.md,2026-08-02,3
stage-links-main-area-explorer-7a6gd7,Stage links and the main-area explorer in show-repo,done,,,2026-07-14,2026-07-14,claude/task-tracker-discussion-wg27xv,,,,stage-links-main-area-explorer-7a6gd7.md,tasks/stage-links-main-area-explorer-7a6gd7.md,2026-07-18,2
stage-partial-file-selection-k8mtou,Give the stage a way to carry part of a file,backlog,,,2026-07-26,,,M,,,stage-partial-file-selection-k8mtou.md,tasks/stage-partial-file-selection-k8mtou.md,2026-07-26,1
stage-surface-convergence-kgtosz,Converge the stage and surface item schemas,done,,,2026-07-18,2026-08-03,,,,,stage-surface-convergence-kgtosz.md,tasks/stage-surface-convergence-kgtosz.md,2026-08-03,5
stand-up-project-tracker-3t7h04,Stand up the project tracker,done,,,2026-07-08,2026-07-08,claude/tracker-concept-assessment-yto1m1,,,,stand-up-project-tracker-3t7h04.md,tasks/stand-up-project-tracker-3t7h04.md,2026-07-08,2
stranded-titles-panel-or-drop-o6hqom,"Decide the remaining stranded title attributes, panel or leave",backlog,,,2026-08-19,,,M,,,stranded-titles-panel-or-drop-o6hqom.md,tasks/stranded-titles-panel-or-drop-o6hqom.md,2026-09-04,3
surface-census-feeds-relation-anle6b,"Make the cache-to-surface dependency checkable, not prose",done,,,2026-08-09,2026-09-04,claude/surface-census-feeds-relation-1v5n23,M,,,surface-census-feeds-relation-anle6b.md,tasks/surface-census-feeds-relation-anle6b.md,2026-09-04,6
surface-schema-commentary-on-stage-hqz0uu,"Carry commentary on a stage (prompts= link field, seed of a surface schema)",done,,,2026-07-20,2026-07-20,claude/web-tools-diff-review-s0nrq7,,,,surface-schema-commentary-on-stage-hqz0uu.md,tasks/surface-schema-commentary-on-stage-hqz0uu.md,2026-07-20,2
surfacing-gate-content-okwnp6,"Hold SURFACING.md to surfacing.csv by content, not by lead-in",backlog,,,2026-09-10,,,S,,,surfacing-gate-content-okwnp6.md,tasks/surfacing-gate-content-okwnp6.md,2026-09-10,1
surplus-state-rate-reread-zyl265,Re-read the surplus closing-state rate against its baseline,backlog,,,2026-09-10,,,XS,,,surplus-state-rate-reread-zyl265.md,tasks/surplus-state-rate-reread-zyl265.md,2026-09-10,1
take-away-inside-a-toss-k73cjq,Make the take-away menu work inside a toss,done,,,2026-07-26,2026-09-04,,M,,,take-away-inside-a-toss-k73cjq.md,tasks/take-away-inside-a-toss-k73cjq.md,2026-09-04,2
toggle-only-tailwind-classes-gxi5tq,"Toggle-only Tailwind classes do generate, and the spinners do spin",done,,,2026-07-26,2026-07-26,claude/web-tools-tracker-review-m49yxc,,,,toggle-only-tailwind-classes-gxi5tq.md,tasks/toggle-only-tailwind-classes-gxi5tq.md,2026-07-26,2
toss-fragment-passthrough-558xcw,Pass a trailing fragment through toss-render to the rendered page,done,show-repo,,2026-07-25,2026-07-25,claude/toss-render-data-formats-4t55x7,,,,toss-fragment-passthrough-558xcw.md,tasks/toss-fragment-passthrough-558xcw.md,2026-07-25,2
toss-render-decode-errors-xu3c6d,Structural response decode + differentiated errors in toss-render,done,show-repo,,2026-07-17,2026-07-17,,,,,toss-render-decode-errors-xu3c6d.md,tasks/toss-render-decode-errors-xu3c6d.md,2026-07-17,1
toss-render-multiparam-query-encoding-n9lbcp,toss-render ?query forwarding drops multi-param page queries,done,,,2026-07-19,2026-07-30,claude/web-tools-tracker-review-bw48ga,,,,toss-render-multiparam-query-encoding-n9lbcp.md,tasks/toss-render-multiparam-query-encoding-n9lbcp.md,2026-07-30,2
tracker-review-in-show-repo-v5km6b,"Tracker review in show-repo, over a typed board projection",done,show-repo,,2026-08-03,2026-08-03,claude/budget-drs-tracker-assessment-fwa13q,L,,,tracker-review-in-show-repo-v5km6b.md,tasks/tracker-review-in-show-repo-v5km6b.md,2026-08-03,4
use-blob-import-bundle-dtuqjo,Load the ?use= bundle by fetch + blob-import instead of jsDelivr,done,,,2026-07-20,2026-07-20,claude/loading-behavior-tracker-aqbf4f,,,,use-blob-import-bundle-dtuqjo.md,tasks/use-blob-import-bundle-dtuqjo.md,2026-07-20,2
use-gh-api-chain-blob-import-y2hwqe,Extend fetch + blob-import to the gh-api.js-chain ?use= boot,done,,,2026-07-20,2026-08-02,,,,,use-gh-api-chain-blob-import-y2hwqe.md,tasks/use-gh-api-chain-blob-import-y2hwqe.md,2026-08-02,2
