path,repo,oracle,scope,data_kinds,blocks,stop_sites,resists,confidence,construction,objects,smells,misses,expert_reading,oracle_notes,resists_why,shard
tools/test/bake-injection.test.mjs,web-tools,mixed,contract,[],ci,3,False,high,"{""fixture"": ""real files on disk"", ""doubles"": ""none"", ""verification"": ""both""}","{""a"": ""skills/bake-page/scripts/bake.js's four .replace('<!--CSS-->'|'<!--JS-->'|'</head>'|'</body>', ...) call sites"", ""b"": ""hardcoded expected count 4 and the regex ^\\(\\)\\s*=> for each replacer, plus a literal $-pattern payload run through String.replace""}","[""hard-coded-data""]","a fifth injection point added later (e.g. a new '<!--FOOTER-->' marker) using a string replacer would not be caught, because the scan only counts .replace calls matching the four specific literal markers already known, not every .replace( call in the file.","Pins bake.js to always use function replacers (never string replacers) for its four marker-based injections, with an inline demonstration of why a string replacer corrupts Alpine's $-prefixed magics, and a doc check that the SKILL.md no longer blames the runtime for the injection's own bug.","a source-count/regex assertion on bake.js's four .replace() call sites (specified), a self-contained demonstration of String.replace's $-pattern semantics with function vs string replacers (specified, real JS execution), and a doc-content assertion on SKILL.md.",,hub-03
tools/test/bench-page.mjs,web-tools,mixed,integration,[],suite-only,1,False,high,"{""fixture"": ""subprocess"", ""doubles"": ""fake"", ""verification"": ""both""}","{""a"": ""bench.call(<op>, base64) return values from pages/bench.html running in a real headless Chromium page"", ""b"": ""hand-computed expected outputs per op given fixed inputs (e.g. yaml {a:1,b:['x','y']}, stats {chars:13,words:3,lines:2}, echo string with quotes/backticks/newline round-tripped)""}","[""hard-coded-data"", ""eager-test""]","the csv op is exercised with only one small 2-row, unquoted, single-line fixture, so a regression that mishandles a quoted field containing an embedded comma or newline (RFC4180 escaping) would pass unnoticed.","A real-browser (Playwright/Chromium) boot test of pages/bench.html driving all 11 registered coprocessor ops through bench.call, checking exact per-op outputs, UTF-8-safe base64 round-tripping, cross-call heap persistence, and that an unknown op returns a string rather than throwing.","specified per-op expected outputs (hand-computed from fixed inputs: echo string, yaml/csv/json shapes, stats counts), an implicit no-console-error boot check, and a consistency check that logged call count equals rendered log rows and that heap state (push1/push2) increments across calls.",,hub-03
tools/test/blank-icons.test.mjs,web-tools,mixed,data-quality,"[""accepted-values"", ""existence""]",ci,11,False,high,"{""fixture"": ""real files on disk"", ""doubles"": ""none"", ""verification"": ""state""}","{""a"": ""Phosphor icon class names in synthetic probe.html fixtures and in the real lib/pages/app tree (e.g. ph-faucet, ph-play-fill, ph-git-compare)"", ""b"": ""the installed @phosphor-icons/web stylesheet's own .ph.ph-<name> selectors as the valid-name authority""}","[""hard-coded-data"", ""mystery-guest""]","a name built by string concatenation in an Alpine binding (e.g. :class=""'ph-' + iconName"") carries no literal ph-<name> token in the markup, so a dynamically-composed blank icon would never be flagged by this scan even though it renders as nothing on device.","Drives scripts/blank-icons.py as a subprocess against synthetic HTML fixtures to pin its classifier (weight-suffix vs borrowed-name vs typo-guess), independently recomputes the valid icon-name count from the installed stylesheet to confirm the script isn't reading a stale list, and finally gates the real lib/pages/app tree for any icon class the installed font cannot render.","mostly specified (synthetic HTML fixtures with hand-reasoned expected classifier output: flagged/fixed/no-near-match/guess), one pseudo-oracle test that independently regex-parses the installed stylesheet and compares the count to the script's own reported count, and a final data-quality gate scanning the real lib/pages/app tree.",,hub-03
tools/test/bound-boolean-attrs.test.mjs,web-tools,specified,data-quality,"[""accepted-values"", ""existence""]",ci,11,False,high,"{""fixture"": ""real files on disk"", ""doubles"": ""none"", ""verification"": ""state""}","{""a"": ""Alpine :bind/x-bind boolean-attribute expression strings in synthetic probe.html fixtures (e.g. 'L.sealed', '!token || saving', 'a.b === 1')"", ""b"": ""hand-reasoned expected classifier verdict ('flagged' with a !! fix, or 'none') derived from Alpine's undefined-to-'' dotted-expression coercion and bind()'s null/undefined/false-only removal rule""}","[""hard-coded-data""]","the scanner splits chains only on top-level || and &&; a nullish-coalescing tail like `:disabled=""maybe ?? row.busy""` with row.busy undefined also hands back a bare undefined operand, but ?? is not one of the operators the split recognizes, so it would report 'none' on a binding that actually sets the attribute.","Drives scripts/bound-boolean-attrs.py as a subprocess against dozens of synthetic Alpine :bind expressions to pin its classifier for the undefined-sets-the-attribute bug (bare property reads and the trailing operand of ||/&& chains), then gates lib, pages, app and popups for any live binding that could still go dark.",,,hub-03
tools/test/branch-brief-address.test.mjs,web-tools,specified,integration,[],ci,7,False,high,"{""fixture"": ""jsdom/alpine boot"", ""doubles"": ""fake"", ""verification"": ""both""}","{""a"": ""branchBrief(opts) mounted in jsdom/Alpine and driven with &pane=/&file= address options against a FakeGH.compare() fixture of three files"", ""b"": ""hand-written expected recorded calls (calls.compare) and fileDeck.open() arguments (opened[].start/path/repo/ref) for each address""}","[""fragile-fixture""]","&file= is matched against the compare's file paths by exact string equality only; a path differing by trailing slash, case, or a leading './' would be treated as 'not on this branch' and silently open nothing, even where the same file is present, since no normalization is applied before the lookup.","An Alpine-component integration test proving the branch page's &pane=/&file= address keys open exactly the named section or file deck once, defer the compare read until asked, fall back to opening nothing on a path the branch doesn't touch, and report the active pane back up through onMeta.",,,hub-03
tools/test/branch-brief-cards.test.mjs,web-tools,mixed,integration,[],ci,6,False,high,"{""fixture"": ""jsdom/alpine boot"", ""doubles"": ""fake"", ""verification"": ""both""}","{""a"": ""fileReview cards' this.repo/this.ref/this.baseName as resolved inside x-data=\""fileReview(cardOpts(f))\"" when Alpine's repo.js data provider is registered alongside branch-brief.js"", ""b"": ""the literal REPO='acme/widgets' string and ref='feat/x'/base='main' passed into branchBrief's own opts""}","[""mystery-guest""]","this file only guards the specific collision where a card's own `repo` key is shadowed by Alpine's globally-registered `repo` data provider; it would not catch a future card option (e.g. a `branch` or `base` key) getting shadowed if some other component later registers a same-named data provider, since only the `repo` collision is exercised.","Regression test for an Alpine x-data scope-collision bug: proves that each per-file fileReview card resolves `this.repo` to the plain string the branch view passed rather than to Alpine's globally-registered `repo` data provider, by mounting repo.js and branch-brief.js together the way pages/branch.html actually boots.","specified (hand-written expected repo/ref/baseName strings and fetch-target prefixes), plus one implicit boot-smoke assertion (mounting is quiet / no captured Alpine errors).",,hub-03
tools/test/branch-brief-groups.test.mjs,web-tools,mixed,integration,[],ci,11,False,high,"{""fixture"": ""jsdom/alpine boot"", ""doubles"": ""fake"", ""verification"": ""both""}","{""a"": ""branchBrief's fileGroups/displayGroups/deckFiles computed from a FakeGH.compare() files array grouped against a fake data/design/content.csv registry (lib/, docs/, dist/ locators)"", ""b"": ""hand-written expected grouping (['hybrid-authored','mechanical'], mechanical collapsed by default), ROW_CAP-truncated counts, and hiddenFileCount""}","[""fragile-fixture"", ""hard-coded-data""]","the row-cap test only opens one large group at a time; two large groups open simultaneously could split ROW_CAP in an undocumented way (e.g. one group consuming the whole budget and starving the other to zero visible rows), a case no test here exercises.","Integration test for the Files pane's content-registry grouping: proves creation-mode groups collapse/expand independently of fetching, that the file deck pages exactly the open groups in pane order, that the ROW_CAP truncates only the drawn rows while a group's own `.total` and the deck stay uncapped, and that GitHub exit rows and the stage-deposit URL are correctly labeled and addressed.","specified (hand-written expected group modes, counts, urls, cap truncation) plus consistency (a group's `.total` must still report the branch-wide count even when its `.files` is capped or collapsed to zero rows, and deckFiles must track exactly what the pane currently shows).",,hub-03
tools/test/branch-brief-hosted.test.mjs,web-tools,mixed,integration,[],ci,19,False,high,"{""fixture"": ""jsdom/alpine boot"", ""doubles"": ""fake"", ""verification"": ""both""}","{""a"": ""branchBrief mounted per-branch by a simulated host (show-repo's deck) against a FakeGH double whose compare()/req() can be held on a promise or monkey-patched to simulate a missing merge base"", ""b"": ""hand-written expected async call ordering (calls.compare/calls.pulls/calls.trees), onMeta payloads, and final brief/verdict/fallbackFiles state per branch""}","[""fragile-fixture"", ""mystery-guest""]","the overtaken-read protection is only exercised across a MOUNT swap (branch A's slow read landing after branch C has already mounted); a same-branch double fetch (e.g. openFiles() and a re-entrant warmNeighbours() both racing ensureCompare() for the SAME branch) is never staged, so a token/generation guard scoped only to mount boundaries could still let a stale in-flight read of one's own branch clobber a freshly reissued one.","Large integration suite for branch-brief as mounted by a host (show-repo's swipe deck): pins the compare-deferral contract (guide-first, files-on-demand), the facts-lending/correction handshake, neighbour warming that only fetches the expensive compare once a reader is already on Files, race-safety when a host swaps branches mid-read, the framed-layout scroll classes, and the no-merge-base fallback that walks recent commit history to report missing paths.","specified (hand-written expected metadata, chip/route values, layout classes) plus consistency/race-safety checks (a slower in-flight read for a superseded branch must not overwrite a newer mount's state; a warmed neighbour's cached read must cost zero further calls on arrival).",,hub-03
tools/test/branch-brief-look.test.mjs,web-tools,mixed,integration,[],ci,12,False,medium,"{""fixture"": ""real files on disk"", ""doubles"": ""fake"", ""verification"": ""state""}","{""a"": ""branchBrief's routeChips/pageChips/bundleStale computed from a FakeGH.compare() file list against the REAL docs/app-routes.csv route-ownership table"", ""b"": ""hand-derived expected classification (chips.on=['stage'] since stage.js is declared by one route, chips.nearCount>3 since estate.js is declared by nine, bundleStale true unless dist/app.js also changed)""}","[""mystery-guest"", ""hard-coded-data""]","bundleStale is set purely on whether dist/app.js appears in the same compare as a lib/ change; a branch that DID rebuild the bundle but from a stale or wrong lib/ checkout (so dist/app.js's bytes don't actually reflect the changed lib/ files) would be reported as fresh, since the check never compares the two files' content, only their co-presence in the file list.","Integration test for the branch page's 'Look' row: proves a file's route membership (declared narrowly vs shared by many routes) reads from the real docs/app-routes.csv at the branch's own ref, that shared/wide routes collapse to an unclickable count rather than a link, that render-link chips are pinned to the branch's tip SHA, and that a lib/ change with no corresponding dist/app.js rebuild is flagged stale.","partly derived (chip membership/counts are checked against the real docs/app-routes.csv and docs/vocabularies.csv route declarations for lib/alpineComponents/stage.js and estate.js, not a hand-typed manifest) and partly specified (hand-written expected URLs, titles, and bundleStale booleans against a fake compare fixture).",,hub-03
tools/test/branch-brief.test.mjs,web-tools,mixed,unit,[],ci,38,False,high,"{""fixture"": ""fresh per test"", ""doubles"": ""fake"", ""verification"": ""both""}","{""a"": ""BB.assemble()/fetchBrief()/readBrief() outputs given hand-built compare/pull/pulls objects and a fake gh {compare,req} double"", ""b"": ""hand-written expected branch-brief fields (state, ahead/behind, sessions/sessionsFrom/sessionsExact, prs ordering and merged/open labeling, cache call counts)""}","[""hard-coded-data""]",readAuthored's branch-review projection folds `items` with role==='changed' into `files[path]` by plain object assignment with no ordering rule tested; two items targeting the same path (e.g. a duplicate review entry) would let the later one silently overwrite the earlier commentary with no test catching a first-wins-vs-last-wins regression.,"Pure-logic unit suite for kits/branch-brief.js: pins the derived-vs-authored two-layer assemble() contract (state/session-source precedence rules, host-lent facts overridden once the real compare lands, PR-list newest-first ordering, merged-vs-open labeling), the readAuthored envelope/branch-review-profile parser, and the readBrief in-flight-join/TTL cache with a fake gh double.",specified (hand-derived expected assembled-branch fields from constructed compare/pull/pulls fixtures) plus consistency (cache identity: a prefetch and its arrival must share one compare object; call counts across concurrent/duplicate reads; in-flight overlap between compare and PR-list calls).,,hub-03
tools/test/branch-status.test.mjs,web-tools,specified,unit,[],ci,39,False,high,"{""fixture"": ""fresh per test"", ""doubles"": [""fake""], ""verification"": ""state""}","{""a"": ""lib/kits/branch-status.js (landedSignal/pathStates/classify/scanOlder)"", ""b"": ""hand-written expected {nLanded,nMissing,nDiffers,...} objects and a fake GH client's compare()/req() tree responses""}","[""none""]","classify()'s 80%-inclusive boundary is exercised only at nUnique=10; a landedPct computed with floor vs round on a fractional percentage (e.g. nUnique=3, nLanded=2 = 66.7%) could misclassify with no test catching the rounding direction.","A pure-function unit suite for BranchStatus's git-tree diffing and the needsScan/scanOlder incremental-refresh logic, driven by hand-built tree fixtures and a fake GH client whose call log proves stale branches are carried rather than re-scanned.",Most assertions are hand-computed expected objects over pure functions; a few (the landed+differs+missing partition test) are consistency checks that internal counts sum to the touched total.,,hub-04
tools/test/branches-dated-sessions.test.mjs,web-tools,specified,integration,[],ci,3,False,high,"{""fixture"": ""fresh per test"", ""doubles"": [""fake""], ""verification"": ""state""}","{""a"": ""GH.branchesDatedSessions() output {branches, sessions}"", ""b"": ""a hand-built two-page GraphQL PAGES fixture with an embedded session-footer commit body""}","[""none""]","A session footer split across two commit-body lines, or one appearing beyond the queried depth on a branch with more history, would silently read as 'no session' with nothing here exercising that truncation.",Wires the real gh-api.js/gh-fetch.js modules together against a fake graphql() transport to prove branchesDatedSessions answers both the branch list and the per-branch session map from a single paginated walk rather than two.,,,hub-04
tools/test/build-board.test.mjs,web-tools,specified,contract,[],ci,30,False,high,"{""fixture"": ""real files on disk"", ""doubles"": [""none""], ""verification"": ""state""}","{""a"": "".claude/skills/tasks/build-board.py's board.md/board.csv/board-tags.csv output"", ""b"": ""hand-written task frontmatter fixtures written to a temp tasks/ dir and regex-matched expected markdown/CSV rows""}","[""none""]","A task's own depends-on id referring to itself is never fed in, so a self-dependency (an id appearing in its own depends-on list) could render a nonsensical 'needs: <own title>' loop with nothing here catching it.","Drives the canonical tracker board generator as a real subprocess over real temp files to pin its dependency-rendering, dormant-task hiding, and the board.csv/board-tags.csv typed projection against hand-authored task fixtures.",,,hub-04
tools/test/card-pdf.mjs,web-tools,mixed,e2e,[],suite-only,1,False,medium,"{""fixture"": ""subprocess"", ""doubles"": [""fake""], ""verification"": ""state""}","{""a"": ""pages/review.html's file-review card, rendered live in Chromium"", ""b"": ""a freshly generated 3-page PDF served through a stubbed GitHub contents API, judged by canvas ink-pixel count and a '3 pages \u00b7 N KB' regex""}","[""none""]",Ink count and canvas width are checked once at whatever page the pager opens on; a PDF that rasterizes the wrong page (always page 1 regardless of pager position) would still pass since nothing here compares canvas content across pager states.,"A standalone Playwright script (excluded from `npm test`, run via the `test:card-pdf` npm script) that proves a PDF in the review card is actually rasterized to canvas pixels rather than mis-sniffed as a generic binary.","Ink-pixel and width thresholds are hand-set (specified); the '3 pages' note is derived from the actual PDF generated in-test, since the fixture really has 3 pages.",,hub-04
tools/test/chat-archive.test.mjs,web-tools,specified,unit,[],ci,11,False,high,"{""fixture"": ""fresh per test"", ""doubles"": [""none""], ""verification"": ""state""}","{""a"": ""lib/kits/chat-archive.js (mergeMonth/daysSince/cadenceOf/banner/monthsDesc)"", ""b"": ""a hand-built FRONTIER fixture (per-provider frontier dates, snapshot lists) and literal expected day-gap/behind-ness counts""}","[""none""]",cadenceOf takes its snapshot-date array in whatever order it is given; two dates supplied out of chronological order would produce a negative or nonsensical gap value with no test exercising that ordering assumption.,"Unit-tests the archive banner's staleness arithmetic (daysSince flooring, per-provider cadence-vs-longest-gap 'due' verdict, and the hand-catalog-wins-a-collision merge rule) against hand-built fixtures, deliberately leaving the GH-backed reader half untested.",,,hub-04
tools/test/chat-render-ask-fill.mjs,web-tools,mixed,e2e,[],suite-only,2,False,medium,"{""fixture"": ""subprocess"", ""doubles"": [""none""], ""verification"": ""state""}","{""a"": ""an ask/reply pair rendered live in Chromium via lib/kits/chat-render.js dense mode"", ""b"": ""the same pair's own measured icon-left and reply-text-left columns (self-consistency), plus fixed pixel thresholds for fill padding""}","[""none""]","Every case is measured at one fixed 560px card width; a narrower viewport where the icon glyph wraps onto its own line, or a right-to-left locale, could break the same column alignment with nothing here at another width to catch it.","A geometry-proof script (npm script `test:ask-fill`, not part of `npm test` since jsdom returns zero client rects) that measures real laid-out pixels in Chromium to pin the ask fill's left/right edges and the icon column against each other and against the reply's text column.",The icon-column and fill/reply-column alignment checks are consistency (independently rendered turns must agree with each other); the padding-slack tolerance and right-edge bound are hand-set thresholds (specified).,,hub-04
