repo,artifact,script,where,script_sha,kind,term,requirement,a,a_mode,b,b_mode,failure,limit,blocks,unit,count
web-tools,docs/README.md,tools/test/derived-artifacts.test.mjs,tools/build/docs-readme.mjs render(); invoked by tools/test/derived-artifacts.test.mjs ('docs/README.md matches the documentation registry',6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,docs/README.md's per-folder listing and reach summary match what render() produces from the current docs.csv and owners.csv,docs/README.md (committed),generated from docs/docs.csv and docs/owners.csv,"render(docs.csv rows, owners.csv rows) recomputed now","same function, run fresh at test time","a docs.csv row edited (subject, status, reach) or a file added/removed from docs/, or owners.csv gaining/losing a row, without rerunning docs-readme","that docs.csv's own fields (reach, words) are themselves correct; that is docs-registry.test.mjs's claim, not this one's",ci,test calls,(part of file)
web-tools,pages/index.html,tools/test/derived-artifacts.test.mjs,"tools/build/pages-index.mjs --check, buildHtml()/buildGroups(); same test as pages/README.md",6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,the card data embedded in pages/index.html (PAGE_GROUPS) matches a fresh walk of pages/ and lib/kits/demos/,"pages/index.html (committed, embeds PAGE_GROUPS as inline JSON)","generated by pages-index.mjs, same walk as README.md","buildGroups() output over a fresh directory walk, recomputed now","same walker, run fresh at test time","same as pages/README.md: a page added, removed, or retitled without regeneration",same as pages/README.md; also does not establish that the live-preview iframe or the CDN ?use= boot sequence embedded in the template still works,ci,test calls,(part of file)
web-tools,pages/README.md,tools/test/derived-artifacts.test.mjs,"tools/build/pages-index.mjs --check, buildMarkdown(); invoked by tools/test/derived-artifacts.test.mjs ('the page catalogs match pages/'",6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,pages/README.md's table of every page under pages/ and lib/kits/demos/ matches a fresh walk of those directories plus the hand-kept NOTES blurbs,pages/README.md (committed),generated by pages-index.mjs from a directory walk plus each page's <title>,"buildMarkdown() output over a fresh readdir of pages/ and lib/kits/demos/, recomputed now","same walker, run fresh at test time","an .html file added, removed, or retitled under pages/ or lib/kits/demos/ without regenerating; a NOTES blurb edited in the script without a rerun","that a listed page still renders correctly, or that its screenshot thumbnail (a separate, non-deterministic artifact) is current",ci,test calls,(part of file)
web-tools,pages/pages.csv,tools/test/derived-artifacts.test.mjs,"tools/build/pages-index.mjs --check, writeCsv(cards, PAGE_COLS); same test as pages/README.md",6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,"pages/pages.csv, the standalone card model show-repo reads, matches the same card set pages/index.html embeds",pages/pages.csv (committed),generated by pages-index.mjs from the identical `groups` value as index.html,"cards, derived from buildGroups() flattened, recomputed now","same run, same intermediate as pages/index.html: same-source consistency between the two output rows, folded into one drift check here since both come from one `groups` value",same as pages/README.md and pages/index.html,same as pages/README.md and pages/index.html,ci,test calls,(part of file)
web-tools,docs/snags.csv,tools/test/derived-artifacts.test.mjs,tools/build/snags-index.mjs csv() --check; same test as docs/SNAGS.md,6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,regeneration test,"docs/snags.csv, one row per snag with slug/title/count/last_seen/seen/targets, matches csv(parse(docs/SNAGS.md)) recomputed now",docs/snags.csv (committed),"generated by snags-index.mjs from the same parse as SNAGS.md's index block, written in the same run",csv(parse(md)) recomputed now,"same function, run fresh at test time","same as SNAGS.md's index block; also a malformed seen token silently miscounted, as a prose aside once was parsed as three extra sightings","that the extracted sighting count is the true recurrence count for a snag; a malformed token is reported to the console, not failed here",ci,test calls,(part of file)
web-tools,docs/SNAGS.md,tools/test/derived-artifacts.test.mjs,tools/build/snags-index.mjs parse()/render() --check; invoked by tools/test/derived-artifacts.test.mjs ('the snags index and registry match docs/SNAGS.md',6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,"regeneration test, self-referential (the source and the derived block sit in one file)",the table between the snags-index markers at the top of docs/SNAGS.md matches render(parse(the rest of the same file's body)),"docs/SNAGS.md, the block between [//]: # (snags-index) and [//]: # (/snags-index)","generated by snags-index.mjs, parsed from the ### slug: title entries and *(seen: ...)* lines lower in the same file",render(parse(md)) recomputed now from the file's own current body,"same function, run fresh at test time, reading the file it is also checking","a snag entry added, re-slugged, or given a new *(seen: ...)* date by hand without regenerating the index block above it","that a sighting token is actually a sighting rather than stray prose (an unslugged heading or a non-date token is reported by the run, not asserted here) and that recurrence, not just count, was noticed",ci,test calls,(part of file)
web-tools,docs/harness.csv,tools/test/derived-artifacts.test.mjs,tools/build/tools-index.mjs deriveTools() plus CLI --check; invoked by tools/test/derived-artifacts.test.mjs ('the harness registry matches tools/ and scripts/',6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,derived-artifact drift,"regeneration test, folding in a membership reconciliation: the CLI adds a blank-role row for any newly tracked file and drops any row whose file no longer exists, inside the same regenerated write","every row of docs/harness.csv (layer, lines, invocation, emits, named, tested) matches deriveTools() computed now, and the row set matches exactly the tracked tools/+scripts/ files (excluding tools/test/) with a recognized code extension",docs/harness.csv (committed; `role` is the one hand-authored column),"generated by tools-index.mjs from git ls-files, package.json scripts, import statements, and every tracked .md/.test.mjs file's prose, except `role`","deriveTools(repoRoot) recomputed now, merged with the file's own `role` column","same function, run fresh at test time","a tools/ or scripts/ file added, renamed, or deleted without restamping; a file's invocation route changing (a new npm script, a new import) without restamping","that `role`, the one authored column, says the right thing about what the file is for; only the five derived columns and the row set are held to the source",ci,test calls,(part of file)
web-tools,"tracker/board.csv, tracker/board-tags.csv (the determinism the artifacts depend on)",tools/test/derived-artifacts.test.mjs,.claude/skills/tasks/build-board.py (whole script); tools/test/derived-artifacts.test.mjs ('the board generator is byte-deterministic',6dcbd8855b4c467ebff1d6f94e6ea052710f91ac,determinism,reproducible-build check: two runs of one generator yield identical bytes,"two separate invocations of build-board.py over the same tracker/tasks/ tree, with PYTHONHASHSEED randomized between them, emit byte-identical board.csv and board-tags.csv",board.csv + board-tags.csv from run 1 (PYTHONHASHSEED=random),generated by build-board.py,"board.csv + board-tags.csv from run 2 (PYTHONHASHSEED=random, a fresh process)","generated by the same script, a second independent process","a future edit to build-board.py that iterates a Python set or dict without a fixed sort, letting per-process hash randomization reorder emitted rows, as the pre-2026-08-18 JSON board projection did","that today's tracker/tasks/ input is one that would expose non-determinism; a two-run check over the current tree cannot prove determinism for every possible input, only that this generator does not currently depend on hash order",ci,test calls,(part of file)
web-tools,lib/kits/text-diff.js timing (long/pathological inputs),tools/test/diff-tool-engine.test.mjs,"171,234",d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,adaptation: performance regression guard against a hard-coded ceiling,a 6000-line diff and a 5000-word pathological line both finish under a stated millisecond ceiling,measured wall-clock time via process.hrtime.bigint(),generated at test time on the CI machine,literal ceilings (2000ms; 300ms) authored in the test,authored,a reintroduced O(n*m) allocation (named as the historical regression) or a removed word-diff cap,that the timing holds on a different machine; only that this run stayed under the stated bound,ci,test calls,2
web-tools,lib/kits/text-diff.js (degenerate inputs),tools/test/diff-tool-engine.test.mjs,187+199,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,unit test against hand-authored literals,two texts sharing no line degrade to one delete run plus one insert run and set a warning that the next clean diff clears,textDiff.lastWarning and app._diffWarn after a diff call,generated by the SUT at test time,literal expected strings ('too different to align'; '') authored in the test,authored,"the warning message text changing without the test being updated, or the warning not being reset",that a real two-version document ever produces this degenerate shape; only that the warning path itself behaves,ci,test calls,2
web-tools,lib/kits/text-diff.js (wordDiff),tools/test/diff-tool-engine.test.mjs,"220,227,398,405",d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,unit test against hand-authored literals,"word-level diff marks only the changed words, escapes markup instead of emitting it, and never emits a zero-width highlight span on an indented line",textDiff.words()/app.wordDiff() output at test time,generated by the SUT,"hand-picked expected HTML fragments ('<span class=""w-del"">quick</span>' etc.)",authored,a regex change reintroducing the empty leading-token span the comment names as a past bug,that the highlighted HTML renders correctly in a browser; only its string shape,ci,test calls,4
web-tools,pages/diff-tool.html (patch edge cases),tools/test/diff-tool-engine.test.mjs,"263,273,277",d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,unit test against hand-authored literals,"identical inputs produce no patch, and a patch with no hunks or a malformed header throws a named error rather than failing silently",app.patch / app.applyPatch() behavior at test time,generated by the SUT,literal expected strings and error-message patterns authored in the test,authored,an error path silently swallowed instead of throwing,that every malformed hunk shape is covered; only the two named here,ci,test calls,3
web-tools,pages/diff-tool.html (normalize),tools/test/diff-tool-engine.test.mjs,"283,291,298,306,315",d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,unit test against hand-authored literals,"app.normalize() applies user rules correctly, flags an invalid regex instead of throwing, strips HTML while keeping block boundaries as line breaks, drops script/style content, and leaves text untouched when off",app.normalize(input) at test time,generated by the SUT,hand-picked expected strings authored in the test,authored,a bad regex rule reaching String.replace unguarded and throwing during a live edit,that every possible user-typed regex is handled; only the one malformed case named,ci,test calls,5
web-tools,pages/diff-tool.html (legacy state formats),tools/test/diff-tool-engine.test.mjs,345+352,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,unit test against hand-authored literals,"a v1-shaped saved file (from the page's predecessor) still opens, and an unrecognised version number is refused with a named error",app.loadState({...}) behavior at test time,generated by the SUT,literal expected content and an error-message pattern authored in the test,authored,a future format bump silently accepting a version it should refuse,that every historical format still opens; only the one v1 shape named,ci,test calls,2
web-tools,lib/kits/text-diff.js (rows()),tools/test/diff-tool-engine.test.mjs,365,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,unit test against a hand-built fixture,"rows() flattens a small ops sequence into the {t,line} shape the stage's Diff lens expects","textDiff.rows(textDiff.lines(a,b), a, b) at test time",generated by the SUT,a hand-built expected array literal in the test,authored,a field rename in the row shape breaking the stage lens silently,that the stage lens itself renders these rows correctly,ci,test calls,1
web-tools,lib/kits/text-diff.js (words() edge cases),tools/test/diff-tool-engine.test.mjs,398,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,behavioral expectation,unit test against hand-authored literals,words() handles a null or empty side without throwing,"textDiff.words('', '') and textDiff.words(null, 'added') at test time",generated by the SUT,hand-picked expected shapes ('' and a w-add match) authored in the test,authored,a null-check removed during a refactor causing a TypeError on a missing side,that every possible malformed input is handled; only null and empty are named,ci,test calls,1
web-tools,lib/kits/text-diff.js output vs a brute-force optimum,tools/test/diff-tool-engine.test.mjs,"check() (lines 110,123,130,137,144,150,159,171,205",d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,pseudo-oracle,oracle problem: comparison against an independently written reference solution (N-version testing),"app.diffLines()'s edit count never beats, and stays within a stated factor of, an edit distance computed by a separate brute-force DP; and replaying its ops exactly reconstructs both input arrays in index order","app.diffLines(a,b) ops: edit count, reconstructed left/right, index order",generated by the SUT (page component wrapping kits/text-diff.js) at test time,"optimalEdits(a,b) from a full O(n*m) DP written in the test file",authored reference implementation,"an anchoring heuristic (patience diff) drifting past its allowed slack, or an off-by-one corrupting reconstruction or index order","that the result is minimal; patience diff is allowed to be non-minimal by design, only bounded",ci,test calls,8
web-tools,pages/diff-tool.html (genPatch/applyPatch),tools/test/diff-tool-engine.test.mjs,245,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,re-derivation,adaptation: round-trip invariant (encode then decode reproduces the input),"applying a generated unified-diff patch to the original text reproduces the modified text, at every stated context width","app.applyPatch(A, app.genPatch()) for context in [1,3,8,999]",generated by the SUT at test time,the original modified text B (authored literal in the test),authored,a context-width edge case corrupting a hunk boundary,that the patch format is compatible with a real patch tool; only that the page's own encode/decode round-trips,ci,test calls,1
web-tools,pages/diff-tool.html (state save/load),tools/test/diff-tool-engine.test.mjs,323,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,re-derivation,adaptation: round-trip invariant,app.state() followed by app.loadState() on the same object restores every field the page's compare view depends on,app.loadState(app.state()) fields at test time,generated by the SUT,the field values set on app before the save (authored in the test),authored,a field added to the page's model without being wired into state()/loadState(),that state() captures every field a user could set; only the fields the test set first,ci,test calls,1
web-tools,lib/kits/text-diff.js (rows() at scale),tools/test/diff-tool-engine.test.mjs,376+387,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,re-derivation,adaptation: round-trip invariant at scale,"rows() reconstructs both original sequences from its own flattened output, including the 5000x5000 pair the stage's previous LCS table could not handle","rows() output filtered back to non-add/non-del lines, at test time",generated by the SUT,the original input arrays a and b (authored/generated in the test),authored,the capacity fix regressing back to an allocation that cannot finish,"that performance is acceptable at even larger sizes; only that this named pair, once refused, now completes correctly",ci,test calls,2
web-tools,lib/kits/text-diff.js vs pages/diff-tool.html,tools/test/diff-tool-engine.test.mjs,358,d9a90fe065e5ea155e5edf6ec61d7b9d18c2ecf9,same-source consistency,regression guard between two build paths sharing one engine,the page component's diffLines/wordDiff/esc methods return exactly what the shared kit's own exported functions return for the same inputs,"app.diffLines(a,b), app.wordDiff(...), app.esc(...) (the page component)",generated by wrapping the kit,"textDiff.lines(a,b), textDiff.words(...), textDiff.esc(...) (the kit)",generated by the same underlying functions,the page component's wrapper diverging from the kit it is supposed to delegate to,anything about whether the shared engine itself is correct; only that the two callers agree,ci,test calls,1
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs,tools/build/docs-reach.mjs deriveReach(); tools/test/docs-registry.test.mjs 'the declared reach of every document matches the derivation',503841b57bdf2c4bb8d94b8587bdeaade57dcc3b,derived-artifact drift,regeneration test,"every docs.csv row's `reach` column equals the channel deriveReach() computes now by walking CLAUDE.md, the injected pair, every skill, and every app/lib/pages file for a mention of that doc's path",docs.csv `reach` column,"generated by `npm run docs-reach`, committed","deriveReach(repoRoot, paths) recomputed now","same function, run fresh at test time","a doc newly named by a skill, CLAUDE.md, or an app/lib file (or dropped from one) without restamping, leaving reach reporting the old channel","that the five-channel precedence itself reflects what ""reachable"" should mean; only that the stored value matches today's derivation under that model",ci,test calls,(part of file)
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs,tools/build/docs-reach.mjs deriveWords(); tools/test/docs-registry.test.mjs 'the declared words of every document matches the derivation',503841b57bdf2c4bb8d94b8587bdeaade57dcc3b,derived-artifact drift,"regeneration test, with a fixpoint requirement (docs.csv is itself a docs.csv row, so its own stored word count is only correct once the stamp has converged)","every docs.csv row's `words` column equals the word count deriveWords() computes now for that file, including docs.csv's own row on itself",docs.csv `words` column,"generated by `npm run docs-reach`, committed","deriveWords(repoRoot, paths) recomputed now","same function, run fresh at test time","a doc edited (words added or removed) without restamping; or docs-reach.mjs's own restamp loop settling before its own row's new byte count is reflected, which this row alone would expose","that the word-counting method is the right proxy for ""how much of the folder this is""; only that the stored number matches the method's output today",ci,test calls,(part of file)
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs,'paths named as document rows resolve inside the repo',503841b57bdf2c4bb8d94b8587bdeaade57dcc3b,referential integrity,"dbt relationships test (one-way, foreign key to the filesystem)",every docs.csv row's `path` names a file (not a directory) that exists in the repo,docs.csv `path` column,authored,the filesystem at repoRoot,read live at test time (existsSync + statSync),"a row's path typo'd, or naming a file since deleted or turned into a directory","nothing this check does not already establish more strongly via the completeness test's second loop (`for (const p of rowSet) assert.ok(onDisk.has(p))`), which walks the same docs/ tree and asserts the same existence; this test is redundant with that half for any path actually under docs/, adding coverage only for a row whose path points outside docs/ (none does today)",ci,test calls,(part of file)
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs,"'every document row is typed: subject, status, reach, words, maintenance'",503841b57bdf2c4bb8d94b8587bdeaade57dcc3b,schema conformance,"Great Expectations expect_column_values_to_be_in_set (status, reach) plus not-null/length checks (subject, maintenance) and a type check (words)","every docs.csv row has a subject longer than 5 characters, a status in {living, record, measured}, a reach in the five CHANNELS docs-reach.mjs declares, a non-negative integer words, and a maintenance longer than 5 characters",each docs.csv row's subject/status/reach/words/maintenance cells,"authored (subject, status, maintenance) or derived (reach, words)","the STATUSES set and CHANNELS list declared in the test and in docs-reach.mjs, plus the length/type literals written in the test itself","authored, hardcoded in the test and in docs-reach.mjs","a new row left with a blank or too-short subject/maintenance, a status or reach value that is a typo or predates a vocabulary addition (the test's own comment: `measured` was added after five rows described that genre in prose while status said `living`)","that a status or reach value, though in-domain, is the right one for that file; only that it is spelled from the closed list",ci,test calls,(part of file)
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs,"'no document row has been filled in with a bare ""authored""'",503841b57bdf2c4bb8d94b8587bdeaade57dcc3b,schema conformance,"adaptation: Great Expectations expect_column_values_to_not_match_regex, applied as a ledger rather than a ban","no docs.csv row's `maintenance` cell matches the bare pattern ^authored(, edited in place| by hand)?\.?$",docs.csv `maintenance` column,authored,the BARE regex literal in the test,"authored, hardcoded in the test","a row filled in with the literal word ""authored"" to satisfy the schema check without saying what actually keeps the file true, which the test's own comment says happened once (15 of 42 rows)","that a maintenance cell passing this check is true; a longer sentence can still assert nothing real, the same gap the file's own comment names (""filled in ... instead of being thought about"")",ci,test calls,(part of file)
web-tools,docs/docs.csv,tools/test/docs-registry.test.mjs,"'every docs/ file is claimed by exactly one document row, and every row exists'",503841b57bdf2c4bb8d94b8587bdeaade57dcc3b,two-way membership,"set equality on a key; referential integrity in both directions (dbt relationships, both ways)","every .md/.json/.csv file under docs/ has exactly one docs.csv row, and every docs.csv row names a file that exists under docs/",every .md/.json/.csv file found by walking docs/ recursively,read live from the filesystem at test time,docs.csv `path` column values,authored (a session adds a row when it adds a doc),"a new doc added to docs/ without a row, a doc deleted while its row survives, a path typo'd or duplicated in docs.csv","that a row's other fields (subject, status, maintenance) describe the file accurately; membership says only that the file and a row exist together",ci,test calls,6
web-tools,lib/gh-boot.js,tools/test/gh-boot-pageboot.test.mjs,14,028a266712bcc0b3eca75e35aa45cc8e3883f55c,source-shape contract,adaptation: a regex over source text asserting a guard exists and is ordered before its fallback; runs nothing,"gh-boot awaits a page-published window.__pageBoot before falling back to its own Alpine mount, and does so inside a try/catch so a failed page chain cannot block the FAB",positions of 'await window.__pageBoot' and 'gh.load(FAB_BOOT.alpine)' in lib/gh-boot.js,authored,a regex for the required try/catch wrapper shape,authored,"a refactor moving the fallback ahead of the guard, recreating the live race the comment describes (shorter.html on a phone via #gh=)","that the timer's 1500ms value is itself correct, or that the guard actually prevents the race at runtime; the file is network-bound so this is a static pin",ci,test calls,1
web-tools,README.md (canonical boot block),tools/test/gh-boot-pageboot.test.mjs,20,028a266712bcc0b3eca75e35aa45cc8e3883f55c,source-shape contract,adaptation: a regex over source text asserting a guard exists and is ordered before its fallback; runs nothing,the README's copy-paste boot template still declares and awaits window.__pageBoot,the boot-block text inside README.md,authored,two literal regex patterns (the assignment and the await) authored in the test,authored,someone editing the README's example block and dropping the await while simplifying it,"that any actual page copied the block correctly; the comment says per-page adoption is tracked, not asserted here",ci,test calls,1
web-tools,lib/gh-boot.js and lib/gh-api.js,tools/test/gh-boot-pageboot.test.mjs,26,028a266712bcc0b3eca75e35aa45cc8e3883f55c,source-shape contract,adaptation: a regex over source text asserting a guard exists and is ordered before its fallback; runs nothing,"gh-boot's fallback also waits for gh-api's in-flight load tally to reach zero, in order after the __pageBoot guard, and gh-api actually maintains that counter","positions of 'await window.__pageBoot', '_loadQuietAt' and the Alpine fallback in lib/gh-boot.js, plus its '_loading > 0' read",generated by reading code,lib/gh-api.js's increment ('C._loading = (C._loading || 0) + 1') and decrement-with-stamp on every exit,generated by reading code,"gh-api.js renaming or removing the counter while gh-boot.js still reads it, silently breaking the second guard layer",that the counter is thread-safe or race-free at runtime; only that both files still declare the mechanism consistently,ci,test calls,1
web-tools,lib/gh-fetch.js query documents,tools/test/graphql-schema.test.mjs,34,a15767d8a2ebdb8299154dead7f3dca17bb648c9,mount smoke,adaptation: module-load smoke check,evaluating gh-fetch.js against a stub window exposes at least three named query documents,window.GH.queries after running lib/gh-fetch.js through new Function,generated by evaluating the module,literal expectation (>= 3 keys) authored in the test,authored,a refactor that stops exporting GH.queries or renames it,that any individual query is well-formed,ci,test calls,1
web-tools,tools/graphql/github-schema.pruned.graphql,tools/test/graphql-schema.test.mjs,controls section,a15767d8a2ebdb8299154dead7f3dca17bb648c9,mutation control,adaptation: negative control proving the check can fail (cf. mutation testing's premise),"a misspelled field, a disallowed nesting, and an omitted required argument each still produce a validation error",QUERIES.branchesDated with one string surgically altered (typo/nesting/dropped arg),authored mutation of a generated query at test time,validate() error list,generated by the GraphQL validator against the pruned schema,"the prune silently dropping the argument or type constraint that makes the control fail, which would mean the whole file validates by accident",that the real (unmutated) queries are correct; this only proves the check is not vacuous,ci,test calls,3
